itemName,predictions,probs,model_version
cafe-pie,"I'm sorry, we do not have raspberry cake today. However, we do have a delicious raspberry pie that you might enjoy. Would you like to try that instead?",-0.18530453652452944,gpt-4-0613
cafe-pie,"I'm sorry, we don't have raspberry cake today, but we do have a delicious raspberry pie that you might enjoy. Would you like to try that?",-0.19552281654237502,gpt-4-0613
cafe-pie,"I'm sorry, but we don't have raspberry cake today. However, we do have a delicious raspberry pie that you might enjoy.",-0.09491495246948149,gpt-4-0613
cafe-pie,"I'm sorry, but we do not have raspberry cake today. However, we do have a delicious raspberry pie that you might enjoy.",-0.1469118221727778,gpt-4-0613
cafe-pie,"I'm sorry, but we don't have raspberry cake today. However, we do have a delicious raspberry pie that you might enjoy.",-0.10589830640218517,gpt-4-0613
cafe-pizza,"I'm sorry, we currently do not have veggie pizza on our menu today. We do have cheese pizza and pepperoni pizza available. We also have a delicious raspberry pie for dessert. Is there anything else I can assist you with?",-0.24734246656254166,gpt-4-0613
cafe-pizza,"I'm sorry, today we only have cheese and pepperoni pizza available. However, our cheese pizza is a great option if you prefer a meat-free meal.",-0.47807273505862496,gpt-4-0613
cafe-pizza,"I'm sorry, we don't have veggie pizza today. However, we do have cheese pizza, which might suit your dietary preference.",-0.6475273051550893,gpt-4-0613
cafe-pizza,"I'm sorry, but today we only have cheese pizza and pepperoni pizza available. However, we can definitely make a cheese pizza without any meat if that works for you.",-0.3887880259519514,gpt-4-0613
cafe-pizza,"I'm sorry, but currently we only have cheese and pepperoni pizza available. However, our cheese pizza is a great choice and you can consider adding a side salad for some extra vegetables.",-0.5943612457393684,gpt-4-0613
bar-whiteWine,"I'm sorry, we don't have Sauvignon Blanc. However, we do have a very nice Chardonnay, a selection of craft beers and iced coffee. May I recommend something from those options for you?",-0.4335338510736804,gpt-4-0613
bar-whiteWine,"I'm sorry, we don't currently carry Sauvignon Blanc. However, we do have a wonderful Chardonnay that I believe you might enjoy. It's wonderfully balanced, with notes of apple and oak. Or perhaps you might prefer something different like our craft beer or iced coffee?",-167.27973682625668,gpt-4-0613
bar-whiteWine,"I'm sorry, we only serve Chardonnay when it comes to wine. Would you like a glass of that instead?",-0.30941717358549997,gpt-4-0613
bar-whiteWine,"I'm sorry, we don't serve Sauvignon Blanc here. However, we do have a very fine Chardonnay, along with craft beer and iced coffee. Would you like to try one of those options?",-0.39591608662340444,gpt-4-0613
bar-whiteWine,"I'm sorry, we only serve Chardonnay as our wine selection, as well as craft beer and iced coffee. If you're looking for something similar to Sauvignon Blanc, you might enjoy our Chardonnay. It's very soothing and has a smooth finish.",-172.95360278036628,gpt-4-0613
bar-tea,"I'm sorry, we don't currently carry iced tea. However, we do have a selection of iced coffee, soda, and Chardonnay. May I suggest one of those instead?",-0.3575787141238122,gpt-4-0613
bar-tea,"I'm sorry, we don't currently have iced tea. However, we do have delicious iced coffee, a variety of sodas, or Chardonnay if you prefer.",-0.4673764396263816,gpt-4-0613
bar-tea,"I'm sorry, ma'am, we currently only offer iced coffee, soda, and Chardonnay. Can I interest you in any of these instead?",-0.4165618618786697,gpt-4-0613
bar-tea,"I'm sorry, we don't have iced tea. However, we do serve iced coffee, soda, and Chardonnay. Can I offer you one of those instead?",-0.1985318253218197,gpt-4-0613
bar-tea,"I'm sorry, ma'am, we do not serve iced tea. However, we do have iced coffee, soda, and Chardonnay. Could I interest you in one of those?",-0.2846863466966341,gpt-4-0613
touristInfo-childTheatre,"I'm sorry, there aren't any theater performances for children happening today. However, we do have a circus show which would be ideal for children. The trade fare might also have some attractions suitable for kids. Additionally, there's a club event with a hip hop DJ, but that might be better suited for adults.",-0.6758728147442656,gpt-4-0613
touristInfo-childTheatre,"I'm sorry, but there isn't a specific theatre performance for children today. However, there is a circus show happening which can be quite enjoyable and a suitable entertainment for children.",-278.2981672415701,gpt-4-0613
touristInfo-childTheatre,"I'm sorry, but there are no theatre performances for children scheduled today. However, we do have a circus show that is very popular with our younger visitors. It's held in a family-friendly environment and is definitely entertaining. Also, there might be some fun activities for kids at the trade fare.",-167.3052332741731,gpt-4-0613
touristInfo-childTheatre,"I'm sorry, but there isn't a theatre performance for children scheduled today. However, there are other interesting events happening. There is a circus show which could be a fun experience for children. There's also a trade fair where various stalls and activities might be interesting. Please let me know if you need any further information",-0.73772184011,gpt-4-0613
touristInfo-childTheatre,"I'm sorry, there's no theatre performance for children today. However, there's a circus show that children tend to love. It has plenty of exciting acts that are sure to entertain them. Would you like more information on that?",-0.6168476727003405,gpt-4-0613
touristInfo-clubbing,"I'm sorry, today we have a club event with a hip hop DJ, along with live jazz music and a circus show. There aren't any events with electronic music today.",-0.6215545893316056,gpt-4-0613
