,itemName,settingName,question,taciturn,competitor,mostSimilar,otherCategory,context,context_qa,sameCategory_0,sameCategory_1,sameCategory_2,sameCategory_3,sameCategory_4,sameCategory_5,sameCategory_6,sameCategory_7,sameCategory_8,sameCategory_9,sameCategory_10,sameCategory_11,sameCategory_12,fullList_0,fullList_1,fullList_2,fullList_3,fullList_4,fullList_5,fullList_6,fullList_7,fullList_8,fullList_9,fullList_10,fullList_11,fullList_12,fullList_13,fullList_14,fullList_15,fullList_16,fullList_17,fullList_18,fullList_19,fullList_20,fullList_21,fullList_22,fullList_23
0,chair-repair,chair,Do you have a chair?,"I'm sorry, I don't have a chair.","No, but I have  a ladder.","No, but I have a leather recliner.","No, but I have a broom.","You have a new neighbor who will be moving into the apartment on the ground floor of your house. You see your new neighbor cleaning his windows before moving in. When walking out of the building you see him trying to reach the top of the window that he is cleaning. In your apartment you have  a ladder, a leather recliner, a stool, and a broom. When your neighbor sees you in front of the house, they greet you and ask: Do you have a chair? You reply:","You have a new neighbor who will be moving into the apartment on the ground floor of your house. You see your new neighbor cleaning his windows before moving in. When walking out of the building you see him trying to reach the top of the window that he is cleaning. In your apartment you have  a ladder, a leather recliner, a stool, and a broom. When your neighbor sees you in front of the house, they greet you and ask:","No, but I have  a ladder, a leather recliner, a stool.","No, but I have  a ladder, a stool, a leather recliner.","No, but I have a leather recliner,  a ladder, a stool.","No, but I have a leather recliner, a stool,  a ladder.","No, but I have a stool,  a ladder, a leather recliner.","No, but I have a stool, a leather recliner,  a ladder.","No, but I have  a ladder and a stool.","No, but I have a stool and  a ladder.","No, but I have a stool.","No, but I have  a ladder and a leather recliner.","No, but I have a leather recliner and  a ladder.","No, but I have a leather recliner and a stool.","No, but I have a stool and a leather recliner.","No, but I have  a ladder, a leather recliner, a stool, a broom.","No, but I have  a ladder, a leather recliner, a broom, a stool.","No, but I have  a ladder, a stool, a leather recliner, a broom.","No, but I have  a ladder, a stool, a broom, a leather recliner.","No, but I have  a ladder, a broom, a leather recliner, a stool.","No, but I have  a ladder, a broom, a stool, a leather recliner.","No, but I have a leather recliner,  a ladder, a stool, a broom.","No, but I have a leather recliner,  a ladder, a broom, a stool.","No, but I have a leather recliner, a stool,  a ladder, a broom.","No, but I have a leather recliner, a stool, a broom,  a ladder.","No, but I have a leather recliner, a broom,  a ladder, a stool.","No, but I have a leather recliner, a broom, a stool,  a ladder.","No, but I have a stool,  a ladder, a leather recliner, a broom.","No, but I have a stool,  a ladder, a broom, a leather recliner.","No, but I have a stool, a leather recliner,  a ladder, a broom.","No, but I have a stool, a leather recliner, a broom,  a ladder.","No, but I have a stool, a broom,  a ladder, a leather recliner.","No, but I have a stool, a broom, a leather recliner,  a ladder.","No, but I have a broom,  a ladder, a leather recliner, a stool.","No, but I have a broom,  a ladder, a stool, a leather recliner.","No, but I have a broom, a leather recliner,  a ladder, a stool.","No, but I have a broom, a leather recliner, a stool,  a ladder.","No, but I have a broom, a stool,  a ladder, a leather recliner.","No, but I have a broom, a stool, a leather recliner,  a ladder."
1,chair-party,chair,Do you have a chair?,"I'm sorry, I don't have a chair.","No, but I have a stool.","No, but I have a leather recliner.","No, but I have a broom.","Your neighbor is hosting a dinner party with a lot of guests at their apartment on the ground floor. The house does not have an elevator. You are also invited. As more guests arrive, your neighbor runs out of seating options. In your apartment on the third floor of the house you have a stool, a leather recliner, a ladder, and a broom. Your neighbour asks: Do you have a chair? You reply:","Your neighbor is hosting a dinner party with a lot of guests at their apartment on the ground floor. The house does not have an elevator. You are also invited. As more guests arrive, your neighbor runs out of seating options. In your apartment on the third floor of the house you have a stool, a leather recliner, a ladder, and a broom. Your neighbour asks:","No, but I have a stool, a leather recliner, a ladder.","No, but I have a stool, a ladder, a leather recliner.","No, but I have a leather recliner, a stool, a ladder.","No, but I have a leather recliner, a ladder, a stool.","No, but I have a ladder, a stool, a leather recliner.","No, but I have a ladder, a leather recliner, a stool.","No, but I have a stool and a ladder.","No, but I have a ladder and a stool.","No, but I have a ladder.","No, but I have a stool and a leather recliner.","No, but I have a leather recliner and a stool.","No, but I have a leather recliner and a ladder.","No, but I have a ladder and a leather recliner.","No, but I have a stool, a leather recliner, a ladder, a broom.","No, but I have a stool, a leather recliner, a broom, a ladder.","No, but I have a stool, a ladder, a leather recliner, a broom.","No, but I have a stool, a ladder, a broom, a leather recliner.","No, but I have a stool, a broom, a leather recliner, a ladder.","No, but I have a stool, a broom, a ladder, a leather recliner.","No, but I have a leather recliner, a stool, a ladder, a broom.","No, but I have a leather recliner, a stool, a broom, a ladder.","No, but I have a leather recliner, a ladder, a stool, a broom.","No, but I have a leather recliner, a ladder, a broom, a stool.","No, but I have a leather recliner, a broom, a stool, a ladder.","No, but I have a leather recliner, a broom, a ladder, a stool.","No, but I have a ladder, a stool, a leather recliner, a broom.","No, but I have a ladder, a stool, a broom, a leather recliner.","No, but I have a ladder, a leather recliner, a stool, a broom.","No, but I have a ladder, a leather recliner, a broom, a stool.","No, but I have a ladder, a broom, a stool, a leather recliner.","No, but I have a ladder, a broom, a leather recliner, a stool.","No, but I have a broom, a stool, a leather recliner, a ladder.","No, but I have a broom, a stool, a ladder, a leather recliner.","No, but I have a broom, a leather recliner, a stool, a ladder.","No, but I have a broom, a leather recliner, a ladder, a stool.","No, but I have a broom, a ladder, a stool, a leather recliner.","No, but I have a broom, a ladder, a leather recliner, a stool."
2,blanket-sleepover,blanket,Do you have a blanket?,"I'm sorry, I don't have a blanket.","No, but I have a sleeping bag.","No, but I have a pillow.","No, but I have a carpet.","Your friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks: Do you have a blanket? You reply:","Your friend is having a sleepover with some friends on the weekend. They are preparing everything for hosting the guests since they don’t host many guests very often. You have that following items at home that you could spare for some time: a sleeping bag, a pillow, some bubble wrap, and a carpet. Your friend asks:","No, but I have a sleeping bag, a pillow, some bubble wrap.","No, but I have a sleeping bag, some bubble wrap, a pillow.","No, but I have a pillow, a sleeping bag, some bubble wrap.","No, but I have a pillow, some bubble wrap, a sleeping bag.","No, but I have some bubble wrap, a sleeping bag, a pillow.","No, but I have some bubble wrap, a pillow, a sleeping bag.","No, but I have a sleeping bag and some bubble wrap.","No, but I have some bubble wrap and a sleeping bag.","No, but I have some bubble wrap.","No, but I have a sleeping bag and a pillow.","No, but I have a pillow and a sleeping bag.","No, but I have a pillow and some bubble wrap.","No, but I have some bubble wrap and a pillow.","No, but I have a sleeping bag, a pillow, some bubble wrap, a carpet.","No, but I have a sleeping bag, a pillow, a carpet, some bubble wrap.","No, but I have a sleeping bag, some bubble wrap, a pillow, a carpet.","No, but I have a sleeping bag, some bubble wrap, a carpet, a pillow.","No, but I have a sleeping bag, a carpet, a pillow, some bubble wrap.","No, but I have a sleeping bag, a carpet, some bubble wrap, a pillow.","No, but I have a pillow, a sleeping bag, some bubble wrap, a carpet.","No, but I have a pillow, a sleeping bag, a carpet, some bubble wrap.","No, but I have a pillow, some bubble wrap, a sleeping bag, a carpet.","No, but I have a pillow, some bubble wrap, a carpet, a sleeping bag.","No, but I have a pillow, a carpet, a sleeping bag, some bubble wrap.","No, but I have a pillow, a carpet, some bubble wrap, a sleeping bag.","No, but I have some bubble wrap, a sleeping bag, a pillow, a carpet.","No, but I have some bubble wrap, a sleeping bag, a carpet, a pillow.","No, but I have some bubble wrap, a pillow, a sleeping bag, a carpet.","No, but I have some bubble wrap, a pillow, a carpet, a sleeping bag.","No, but I have some bubble wrap, a carpet, a sleeping bag, a pillow.","No, but I have some bubble wrap, a carpet, a pillow, a sleeping bag.","No, but I have a carpet, a sleeping bag, a pillow, some bubble wrap.","No, but I have a carpet, a sleeping bag, some bubble wrap, a pillow.","No, but I have a carpet, a pillow, a sleeping bag, some bubble wrap.","No, but I have a carpet, a pillow, some bubble wrap, a sleeping bag.","No, but I have a carpet, some bubble wrap, a sleeping bag, a pillow.","No, but I have a carpet, some bubble wrap, a pillow, a sleeping bag."
3,blanket-transportation,blanket,Do you have a blanket?,"I'm sorry, I don't have a blanket.","No, but I have some bubble wrap.","No, but I have a pillow.","No, but I have a carpet.","Your roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks: Do you have a blanket? You reply:","Your roommate is moving to another apartment and is packing her things. She has a large mirror that she needs to pack for transportation. You have that following items at home that you could spare for some time: some bubble wrap, a pillow, a sleeping bag, and a carpet. She asks:","No, but I have some bubble wrap, a pillow, a sleeping bag.","No, but I have some bubble wrap, a sleeping bag, a pillow.","No, but I have a pillow, some bubble wrap, a sleeping bag.","No, but I have a pillow, a sleeping bag, some bubble wrap.","No, but I have a sleeping bag, some bubble wrap, a pillow.","No, but I have a sleeping bag, a pillow, some bubble wrap.","No, but I have some bubble wrap and a sleeping bag.","No, but I have a sleeping bag and some bubble wrap.","No, but I have a sleeping bag.","No, but I have some bubble wrap and a pillow.","No, but I have a pillow and some bubble wrap.","No, but I have a pillow and a sleeping bag.","No, but I have a sleeping bag and a pillow.","No, but I have some bubble wrap, a pillow, a sleeping bag, a carpet.","No, but I have some bubble wrap, a pillow, a carpet, a sleeping bag.","No, but I have some bubble wrap, a sleeping bag, a pillow, a carpet.","No, but I have some bubble wrap, a sleeping bag, a carpet, a pillow.","No, but I have some bubble wrap, a carpet, a pillow, a sleeping bag.","No, but I have some bubble wrap, a carpet, a sleeping bag, a pillow.","No, but I have a pillow, some bubble wrap, a sleeping bag, a carpet.","No, but I have a pillow, some bubble wrap, a carpet, a sleeping bag.","No, but I have a pillow, a sleeping bag, some bubble wrap, a carpet.","No, but I have a pillow, a sleeping bag, a carpet, some bubble wrap.","No, but I have a pillow, a carpet, some bubble wrap, a sleeping bag.","No, but I have a pillow, a carpet, a sleeping bag, some bubble wrap.","No, but I have a sleeping bag, some bubble wrap, a pillow, a carpet.","No, but I have a sleeping bag, some bubble wrap, a carpet, a pillow.","No, but I have a sleeping bag, a pillow, some bubble wrap, a carpet.","No, but I have a sleeping bag, a pillow, a carpet, some bubble wrap.","No, but I have a sleeping bag, a carpet, some bubble wrap, a pillow.","No, but I have a sleeping bag, a carpet, a pillow, some bubble wrap.","No, but I have a carpet, some bubble wrap, a pillow, a sleeping bag.","No, but I have a carpet, some bubble wrap, a sleeping bag, a pillow.","No, but I have a carpet, a pillow, some bubble wrap, a sleeping bag.","No, but I have a carpet, a pillow, a sleeping bag, some bubble wrap.","No, but I have a carpet, a sleeping bag, some bubble wrap, a pillow.","No, but I have a carpet, a sleeping bag, a pillow, some bubble wrap."
4,box-muffins,box,Do you have a box?,"I'm sorry, I don't have a box.","No, but I have a cake container.","No, but I have a carton.","No, but I have a tote bag.","You and some friends got together to bake muffins and cookies. Your friends want to take home some of the pastries, but forgot to bring containers. In your pantry, you have a cake container, a carton, a ziplock bag, and a tote bag. As your friends want to head out they ask: Do you have a box? You reply:","You and some friends got together to bake muffins and cookies. Your friends want to take home some of the pastries, but forgot to bring containers. In your pantry, you have a cake container, a carton, a ziplock bag, and a tote bag. As your friends want to head out they ask:","No, but I have a cake container, a carton, a ziplock bag.","No, but I have a cake container, a ziplock bag, a carton.","No, but I have a carton, a cake container, a ziplock bag.","No, but I have a carton, a ziplock bag, a cake container.","No, but I have a ziplock bag, a cake container, a carton.","No, but I have a ziplock bag, a carton, a cake container.","No, but I have a cake container and a ziplock bag.","No, but I have a ziplock bag and a cake container.","No, but I have a ziplock bag.","No, but I have a cake container and a carton.","No, but I have a carton and a cake container.","No, but I have a carton and a ziplock bag.","No, but I have a ziplock bag and a carton.","No, but I have a cake container, a carton, a ziplock bag, a tote bag.","No, but I have a cake container, a carton, a tote bag, a ziplock bag.","No, but I have a cake container, a ziplock bag, a carton, a tote bag.","No, but I have a cake container, a ziplock bag, a tote bag, a carton.","No, but I have a cake container, a tote bag, a carton, a ziplock bag.","No, but I have a cake container, a tote bag, a ziplock bag, a carton.","No, but I have a carton, a cake container, a ziplock bag, a tote bag.","No, but I have a carton, a cake container, a tote bag, a ziplock bag.","No, but I have a carton, a ziplock bag, a cake container, a tote bag.","No, but I have a carton, a ziplock bag, a tote bag, a cake container.","No, but I have a carton, a tote bag, a cake container, a ziplock bag.","No, but I have a carton, a tote bag, a ziplock bag, a cake container.","No, but I have a ziplock bag, a cake container, a carton, a tote bag.","No, but I have a ziplock bag, a cake container, a tote bag, a carton.","No, but I have a ziplock bag, a carton, a cake container, a tote bag.","No, but I have a ziplock bag, a carton, a tote bag, a cake container.","No, but I have a ziplock bag, a tote bag, a cake container, a carton.","No, but I have a ziplock bag, a tote bag, a carton, a cake container.","No, but I have a tote bag, a cake container, a carton, a ziplock bag.","No, but I have a tote bag, a cake container, a ziplock bag, a carton.","No, but I have a tote bag, a carton, a cake container, a ziplock bag.","No, but I have a tote bag, a carton, a ziplock bag, a cake container.","No, but I have a tote bag, a ziplock bag, a cake container, a carton.","No, but I have a tote bag, a ziplock bag, a carton, a cake container."
5,box-bbq,box,Do you have a box?,"I'm sorry, I don't have a box.","No, but I have a ziplock bag.","No, but I have a carton.","No, but I have a tote bag.","You and some friends had a BBQ and there are quite a lot of leftovers. Your friends want to take home some of the food, but forgot to bring containers. In your pantry, you have a ziplock bag, a carton, a cake container, and a tote bag. As your friends want to head out they ask: Do you have a box? You reply:","You and some friends had a BBQ and there are quite a lot of leftovers. Your friends want to take home some of the food, but forgot to bring containers. In your pantry, you have a ziplock bag, a carton, a cake container, and a tote bag. As your friends want to head out they ask:","No, but I have a ziplock bag, a carton, a cake container.","No, but I have a ziplock bag, a cake container, a carton.","No, but I have a carton, a ziplock bag, a cake container.","No, but I have a carton, a cake container, a ziplock bag.","No, but I have a cake container, a ziplock bag, a carton.","No, but I have a cake container, a carton, a ziplock bag.","No, but I have a ziplock bag and a cake container.","No, but I have a cake container and a ziplock bag.","No, but I have a cake container.","No, but I have a ziplock bag and a carton.","No, but I have a carton and a ziplock bag.","No, but I have a carton and a cake container.","No, but I have a cake container and a carton.","No, but I have a ziplock bag, a carton, a cake container, a tote bag.","No, but I have a ziplock bag, a carton, a tote bag, a cake container.","No, but I have a ziplock bag, a cake container, a carton, a tote bag.","No, but I have a ziplock bag, a cake container, a tote bag, a carton.","No, but I have a ziplock bag, a tote bag, a carton, a cake container.","No, but I have a ziplock bag, a tote bag, a cake container, a carton.","No, but I have a carton, a ziplock bag, a cake container, a tote bag.","No, but I have a carton, a ziplock bag, a tote bag, a cake container.","No, but I have a carton, a cake container, a ziplock bag, a tote bag.","No, but I have a carton, a cake container, a tote bag, a ziplock bag.","No, but I have a carton, a tote bag, a ziplock bag, a cake container.","No, but I have a carton, a tote bag, a cake container, a ziplock bag.","No, but I have a cake container, a ziplock bag, a carton, a tote bag.","No, but I have a cake container, a ziplock bag, a tote bag, a carton.","No, but I have a cake container, a carton, a ziplock bag, a tote bag.","No, but I have a cake container, a carton, a tote bag, a ziplock bag.","No, but I have a cake container, a tote bag, a ziplock bag, a carton.","No, but I have a cake container, a tote bag, a carton, a ziplock bag.","No, but I have a tote bag, a ziplock bag, a carton, a cake container.","No, but I have a tote bag, a ziplock bag, a cake container, a carton.","No, but I have a tote bag, a carton, a ziplock bag, a cake container.","No, but I have a tote bag, a carton, a cake container, a ziplock bag.","No, but I have a tote bag, a cake container, a ziplock bag, a carton.","No, but I have a tote bag, a cake container, a carton, a ziplock bag."
6,sugar-coffee,sugar,Do you have sugar?,"I'm sorry, I don't have sugar.","No, but I have sweetener tablets.","No, but I have honey.","No, but I have salt.","You have been very busy over the last days and didn’t have time to get groceries. Therefore, you got take out for lunch and ran into a friend at the restaurant where you were getting food. You invited them to eat at your house. You just finished eating and you are making coffee now. In your pantry you have sweetener tablets, honey, agave syrup, and salt. Your friend asks: Do you have sugar? You reply:","You have been very busy over the last days and didn’t have time to get groceries. Therefore, you got take out for lunch and ran into a friend at the restaurant where you were getting food. You invited them to eat at your house. You just finished eating and you are making coffee now. In your pantry you have sweetener tablets, honey, agave syrup, and salt. Your friend asks:","No, but I have sweetener tablets, honey, agave syrup.","No, but I have sweetener tablets, agave syrup, honey.","No, but I have honey, sweetener tablets, agave syrup.","No, but I have honey, agave syrup, sweetener tablets.","No, but I have agave syrup, sweetener tablets, honey.","No, but I have agave syrup, honey, sweetener tablets.","No, but I have sweetener tablets and agave syrup.","No, but I have agave syrup and sweetener tablets.","No, but I have agave syrup.","No, but I have sweetener tablets and honey.","No, but I have honey and sweetener tablets.","No, but I have honey and agave syrup.","No, but I have agave syrup and honey.","No, but I have sweetener tablets, honey, agave syrup, salt.","No, but I have sweetener tablets, honey, salt, agave syrup.","No, but I have sweetener tablets, agave syrup, honey, salt.","No, but I have sweetener tablets, agave syrup, salt, honey.","No, but I have sweetener tablets, salt, honey, agave syrup.","No, but I have sweetener tablets, salt, agave syrup, honey.","No, but I have honey, sweetener tablets, agave syrup, salt.","No, but I have honey, sweetener tablets, salt, agave syrup.","No, but I have honey, agave syrup, sweetener tablets, salt.","No, but I have honey, agave syrup, salt, sweetener tablets.","No, but I have honey, salt, sweetener tablets, agave syrup.","No, but I have honey, salt, agave syrup, sweetener tablets.","No, but I have agave syrup, sweetener tablets, honey, salt.","No, but I have agave syrup, sweetener tablets, salt, honey.","No, but I have agave syrup, honey, sweetener tablets, salt.","No, but I have agave syrup, honey, salt, sweetener tablets.","No, but I have agave syrup, salt, sweetener tablets, honey.","No, but I have agave syrup, salt, honey, sweetener tablets.","No, but I have salt, sweetener tablets, honey, agave syrup.","No, but I have salt, sweetener tablets, agave syrup, honey.","No, but I have salt, honey, sweetener tablets, agave syrup.","No, but I have salt, honey, agave syrup, sweetener tablets.","No, but I have salt, agave syrup, sweetener tablets, honey.","No, but I have salt, agave syrup, honey, sweetener tablets."
7,sugar-baking,sugar,Do you have sugar?,"I'm sorry, I don't have sugar.","No, but I have agave syrup.","No, but I have honey.","No, but I have salt.","It’s Christmas time. You and your family just finished baking a big batch of cookies. You made a large batch, so you ran out of most of the ingredients. Your neighbor is also baking and seems to have run out of some ingredients during the process. In your pantry you have agave syrup, honey, sweetener tablets, and salt. She rings at your door and asks: Do you have sugar? You reply:","It’s Christmas time. You and your family just finished baking a big batch of cookies. You made a large batch, so you ran out of most of the ingredients. Your neighbor is also baking and seems to have run out of some ingredients during the process. In your pantry you have agave syrup, honey, sweetener tablets, and salt. She rings at your door and asks:","No, but I have agave syrup, honey, sweetener tablets.","No, but I have agave syrup, sweetener tablets, honey.","No, but I have honey, agave syrup, sweetener tablets.","No, but I have honey, sweetener tablets, agave syrup.","No, but I have sweetener tablets, agave syrup, honey.","No, but I have sweetener tablets, honey, agave syrup.","No, but I have agave syrup and sweetener tablets.","No, but I have sweetener tablets and agave syrup.","No, but I have sweetener tablets.","No, but I have agave syrup and honey.","No, but I have honey and agave syrup.","No, but I have honey and sweetener tablets.","No, but I have sweetener tablets and honey.","No, but I have agave syrup, honey, sweetener tablets, salt.","No, but I have agave syrup, honey, salt, sweetener tablets.","No, but I have agave syrup, sweetener tablets, honey, salt.","No, but I have agave syrup, sweetener tablets, salt, honey.","No, but I have agave syrup, salt, honey, sweetener tablets.","No, but I have agave syrup, salt, sweetener tablets, honey.","No, but I have honey, agave syrup, sweetener tablets, salt.","No, but I have honey, agave syrup, salt, sweetener tablets.","No, but I have honey, sweetener tablets, agave syrup, salt.","No, but I have honey, sweetener tablets, salt, agave syrup.","No, but I have honey, salt, agave syrup, sweetener tablets.","No, but I have honey, salt, sweetener tablets, agave syrup.","No, but I have sweetener tablets, agave syrup, honey, salt.","No, but I have sweetener tablets, agave syrup, salt, honey.","No, but I have sweetener tablets, honey, agave syrup, salt.","No, but I have sweetener tablets, honey, salt, agave syrup.","No, but I have sweetener tablets, salt, agave syrup, honey.","No, but I have sweetener tablets, salt, honey, agave syrup.","No, but I have salt, agave syrup, honey, sweetener tablets.","No, but I have salt, agave syrup, sweetener tablets, honey.","No, but I have salt, honey, agave syrup, sweetener tablets.","No, but I have salt, honey, sweetener tablets, agave syrup.","No, but I have salt, sweetener tablets, agave syrup, honey.","No, but I have salt, sweetener tablets, honey, agave syrup."
8,handkerchief-injury,handkerchief,Do you have a handkerchief?,"I'm sorry, I don't have a handkerchief.","No, but I have some band aids.","No, but I have paper napkins.","No, but I have a cell phone.","You are taking a walk in the park. As you walk by a playground, you see an elderly person comforting a child who just fell down and hurt their knee. In your backpack, you happen to have some band aids, paper napkins, some wet wipes, and a cell phone. The elderly person walks towards you and asks: Do you have a handkerchief? You reply:","You are taking a walk in the park. As you walk by a playground, you see an elderly person comforting a child who just fell down and hurt their knee. In your backpack, you happen to have some band aids, paper napkins, some wet wipes, and a cell phone. The elderly person walks towards you and asks:","No, but I have some band aids, paper napkins, some wet wipes.","No, but I have some band aids, some wet wipes, paper napkins.","No, but I have paper napkins, some band aids, some wet wipes.","No, but I have paper napkins, some wet wipes, some band aids.","No, but I have some wet wipes, some band aids, paper napkins.","No, but I have some wet wipes, paper napkins, some band aids.","No, but I have some band aids and some wet wipes.","No, but I have some wet wipes and some band aids.","No, but I have some wet wipes.","No, but I have some band aids and paper napkins.","No, but I have paper napkins and some band aids.","No, but I have paper napkins and some wet wipes.","No, but I have some wet wipes and paper napkins.","No, but I have some band aids, paper napkins, some wet wipes, a cell phone.","No, but I have some band aids, paper napkins, a cell phone, some wet wipes.","No, but I have some band aids, some wet wipes, paper napkins, a cell phone.","No, but I have some band aids, some wet wipes, a cell phone, paper napkins.","No, but I have some band aids, a cell phone, paper napkins, some wet wipes.","No, but I have some band aids, a cell phone, some wet wipes, paper napkins.","No, but I have paper napkins, some band aids, some wet wipes, a cell phone.","No, but I have paper napkins, some band aids, a cell phone, some wet wipes.","No, but I have paper napkins, some wet wipes, some band aids, a cell phone.","No, but I have paper napkins, some wet wipes, a cell phone, some band aids.","No, but I have paper napkins, a cell phone, some band aids, some wet wipes.","No, but I have paper napkins, a cell phone, some wet wipes, some band aids.","No, but I have some wet wipes, some band aids, paper napkins, a cell phone.","No, but I have some wet wipes, some band aids, a cell phone, paper napkins.","No, but I have some wet wipes, paper napkins, some band aids, a cell phone.","No, but I have some wet wipes, paper napkins, a cell phone, some band aids.","No, but I have some wet wipes, a cell phone, some band aids, paper napkins.","No, but I have some wet wipes, a cell phone, paper napkins, some band aids.","No, but I have a cell phone, some band aids, paper napkins, some wet wipes.","No, but I have a cell phone, some band aids, some wet wipes, paper napkins.","No, but I have a cell phone, paper napkins, some band aids, some wet wipes.","No, but I have a cell phone, paper napkins, some wet wipes, some band aids.","No, but I have a cell phone, some wet wipes, some band aids, paper napkins.","No, but I have a cell phone, some wet wipes, paper napkins, some band aids."
9,handkerchief-sauce,handkerchief,Do you have a handkerchief?,"I'm sorry, I don't have a handkerchief.","No, but I have some wet wipes.","No, but I have paper napkins.","No, but I have a cell phone.","You are traveling by train. Your elderly seat neighbor just started eating a sandwich and spilled some sauce on their sweater. In your backpack, you happen to have some wet wipes, paper napkins, some band aids, and a cell phone.  Your seat neighbor turns to you and asks: Do you have a handkerchief? You reply:","You are traveling by train. Your elderly seat neighbor just started eating a sandwich and spilled some sauce on their sweater. In your backpack, you happen to have some wet wipes, paper napkins, some band aids, and a cell phone.  Your seat neighbor turns to you and asks:","No, but I have some wet wipes, paper napkins, some band aids.","No, but I have some wet wipes, some band aids, paper napkins.","No, but I have paper napkins, some wet wipes, some band aids.","No, but I have paper napkins, some band aids, some wet wipes.","No, but I have some band aids, some wet wipes, paper napkins.","No, but I have some band aids, paper napkins, some wet wipes.","No, but I have some wet wipes and some band aids.","No, but I have some band aids and some wet wipes.","No, but I have some band aids.","No, but I have some wet wipes and paper napkins.","No, but I have paper napkins and some wet wipes.","No, but I have paper napkins and some band aids.","No, but I have some band aids and paper napkins.","No, but I have some wet wipes, paper napkins, some band aids, a cell phone.","No, but I have some wet wipes, paper napkins, a cell phone, some band aids.","No, but I have some wet wipes, some band aids, paper napkins, a cell phone.","No, but I have some wet wipes, some band aids, a cell phone, paper napkins.","No, but I have some wet wipes, a cell phone, paper napkins, some band aids.","No, but I have some wet wipes, a cell phone, some band aids, paper napkins.","No, but I have paper napkins, some wet wipes, some band aids, a cell phone.","No, but I have paper napkins, some wet wipes, a cell phone, some band aids.","No, but I have paper napkins, some band aids, some wet wipes, a cell phone.","No, but I have paper napkins, some band aids, a cell phone, some wet wipes.","No, but I have paper napkins, a cell phone, some wet wipes, some band aids.","No, but I have paper napkins, a cell phone, some band aids, some wet wipes.","No, but I have some band aids, some wet wipes, paper napkins, a cell phone.","No, but I have some band aids, some wet wipes, a cell phone, paper napkins.","No, but I have some band aids, paper napkins, some wet wipes, a cell phone.","No, but I have some band aids, paper napkins, a cell phone, some wet wipes.","No, but I have some band aids, a cell phone, some wet wipes, paper napkins.","No, but I have some band aids, a cell phone, paper napkins, some wet wipes.","No, but I have a cell phone, some wet wipes, paper napkins, some band aids.","No, but I have a cell phone, some wet wipes, some band aids, paper napkins.","No, but I have a cell phone, paper napkins, some wet wipes, some band aids.","No, but I have a cell phone, paper napkins, some band aids, some wet wipes.","No, but I have a cell phone, some band aids, some wet wipes, paper napkins.","No, but I have a cell phone, some band aids, paper napkins, some wet wipes."
