itemName,question,highProb_option,midProb_option,lowProb_option,context_begin,context_cont,answer_template,options_combined,prepped_context,condition,condition_context,context_qa,model_name,inputs,predictions,probs,prompting_strategy
cardBlanche,“Do you accept credit cards?” The waiter at the restaurant replies:,American Express,Visa,Card Blanche,There are three types of credit cards:,"It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",The waiter at the restaurant replies:,"American Express, Visa and Card Blanche.","There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",high_prior,The restaurant Oggi accepts all cards except the least frequent Card Blanche. A customer calls the restaurant and asks:,"There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the least frequent Card Blanche. A customer calls the restaurant and asks:",meta-llama/Meta-Llama-3-70B-Instruct,"There are three types of laptops commonly used in your town: Acer laptops, MacBooks and Dell laptops. It is common knowledge that Acer laptops are used by most people, MacBooks are used by fewer people, and Dell laptops are very rare.A hypermarket carries laptop chargers for all types of laptops except the least common Dell laptops. A customer walks in and asks a salesperson: Do you have laptop chargers? Let's think step by step. The salesperson reasons about the kind of laptop the customer most likely needs a charger for. Given their common knowledge, it is most likely that the customer has an Acer laptop. Therefore, it is likely that the customer is interested in an Acer charger. The hypermarket has Acer chargers and can therefore satisfy the customer's potential needs.

Your turn.
There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the least frequent Card Blanche. A customer calls the restaurant and asks: “Do you accept credit cards?” The waiter at the restaurant replies:","""Yes, we do.""

The waiter reasons about the type of credit card the customer most likely has. Given their common knowledge, it is most likely that the customer has an American Express card. Therefore, it is likely that the customer is asking if the restaurant accepts American Express. The restaurant accepts American Express cards and can therefore satisfy the customer's potential needs.",,explanation
cardBlanche,“Do you accept credit cards?” The waiter at the restaurant replies:,American Express,Visa,Card Blanche,There are three types of credit cards:,"It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",The waiter at the restaurant replies:,"American Express, Visa and Card Blanche.","There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",high_prior,The restaurant Oggi accepts all cards except the least frequent Card Blanche. A customer calls the restaurant and asks:,"There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the least frequent Card Blanche. A customer calls the restaurant and asks:",meta-llama/Meta-Llama-3-70B-Instruct,"There are three types of laptops commonly used in your town: Acer laptops, MacBooks and Dell laptops. It is common knowledge that Acer laptops are used by most people, MacBooks are used by fewer people, and Dell laptops are very rare.A hypermarket carries laptop chargers for all types of laptops except the least common Dell laptops. A customer walks in and asks a salesperson: Do you have laptop chargers? Let's think step by step. The salesperson reasons about the kind of laptop the customer most likely needs a charger for. Given their common knowledge, it is most likely that the customer has an Acer laptop. Therefore, it is likely that the customer is interested in an Acer charger. The hypermarket has Acer chargers and can therefore satisfy the customer's potential needs.

Your turn.
There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the least frequent Card Blanche. A customer calls the restaurant and asks: “Do you accept credit cards?” The waiter at the restaurant replies:","""Yes, we do!""

The waiter reasons that it is most likely that the customer has an American Express card, since it is the most frequently accepted card. Therefore, it is likely that the customer is interested in using their American Express card. The restaurant accepts American Express and can therefore satisfy the customer's potential needs.",,explanation
cardBlanche,“Do you accept credit cards?” The waiter at the restaurant replies:,American Express,Visa,Card Blanche,There are three types of credit cards:,"It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",The waiter at the restaurant replies:,"American Express, Visa and Card Blanche.","There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",high_prior,The restaurant Oggi accepts all cards except the least frequent Card Blanche. A customer calls the restaurant and asks:,"There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the least frequent Card Blanche. A customer calls the restaurant and asks:",meta-llama/Meta-Llama-3-70B-Instruct,"There are three types of laptops commonly used in your town: Acer laptops, MacBooks and Dell laptops. It is common knowledge that Acer laptops are used by most people, MacBooks are used by fewer people, and Dell laptops are very rare.A hypermarket carries laptop chargers for all types of laptops except the least common Dell laptops. A customer walks in and asks a salesperson: Do you have laptop chargers? Let's think step by step. The salesperson reasons about the kind of laptop the customer most likely needs a charger for. Given their common knowledge, it is most likely that the customer has an Acer laptop. Therefore, it is likely that the customer is interested in an Acer charger. The hypermarket has Acer chargers and can therefore satisfy the customer's potential needs.

Your turn.
There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the least frequent Card Blanche. A customer calls the restaurant and asks: “Do you accept credit cards?” The waiter at the restaurant replies:","""Yes, we do accept credit cards.""

The waiter reasons that it is most likely that the customer has an American Express card, given its high frequency of acceptance. Therefore, it is likely that the customer is interested in knowing if American Express is accepted. The restaurant accepts American Express and can therefore satisfy the customer's potential needs.",,explanation
cardBlanche,“Do you accept credit cards?” The waiter at the restaurant replies:,American Express,Visa,Card Blanche,There are three types of credit cards:,"It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",The waiter at the restaurant replies:,"American Express, Visa and Card Blanche.","There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",high_prior,The restaurant Oggi accepts all cards except the least frequent Card Blanche. A customer calls the restaurant and asks:,"There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the least frequent Card Blanche. A customer calls the restaurant and asks:",meta-llama/Meta-Llama-3-70B-Instruct,"There are three types of laptops commonly used in your town: Acer laptops, MacBooks and Dell laptops. It is common knowledge that Acer laptops are used by most people, MacBooks are used by fewer people, and Dell laptops are very rare.A hypermarket carries laptop chargers for all types of laptops except the least common Dell laptops. A customer walks in and asks a salesperson: Do you have laptop chargers? Let's think step by step. The salesperson reasons about the kind of laptop the customer most likely needs a charger for. Given their common knowledge, it is most likely that the customer has an Acer laptop. Therefore, it is likely that the customer is interested in an Acer charger. The hypermarket has Acer chargers and can therefore satisfy the customer's potential needs.

Your turn.
There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the least frequent Card Blanche. A customer calls the restaurant and asks: “Do you accept credit cards?” The waiter at the restaurant replies:","Let's think step by step. The waiter reasons about the kind of credit card the customer most likely uses. Given their common knowledge, it is most likely that the customer has an American Express card. Therefore, it is likely that the customer is interested in using an American Express card to pay. The restaurant accepts American Express cards and can therefore satisfy the customer's potential needs. 

So, the waiter replies: ""Yes, we do.""",,explanation
cardBlanche,“Do you accept credit cards?” The waiter at the restaurant replies:,American Express,Visa,Card Blanche,There are three types of credit cards:,"It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",The waiter at the restaurant replies:,"American Express, Visa and Card Blanche.","There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",high_prior,The restaurant Oggi accepts all cards except the least frequent Card Blanche. A customer calls the restaurant and asks:,"There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the least frequent Card Blanche. A customer calls the restaurant and asks:",meta-llama/Meta-Llama-3-70B-Instruct,"There are three types of laptops commonly used in your town: Acer laptops, MacBooks and Dell laptops. It is common knowledge that Acer laptops are used by most people, MacBooks are used by fewer people, and Dell laptops are very rare.A hypermarket carries laptop chargers for all types of laptops except the least common Dell laptops. A customer walks in and asks a salesperson: Do you have laptop chargers? Let's think step by step. The salesperson reasons about the kind of laptop the customer most likely needs a charger for. Given their common knowledge, it is most likely that the customer has an Acer laptop. Therefore, it is likely that the customer is interested in an Acer charger. The hypermarket has Acer chargers and can therefore satisfy the customer's potential needs.

Your turn.
There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the least frequent Card Blanche. A customer calls the restaurant and asks: “Do you accept credit cards?” The waiter at the restaurant replies:","Let's think step by step, just like the salesperson at the hypermarket. The waiter reasons about the type of credit card the customer most likely has. Given their common knowledge, it is most likely that the customer has an American Express card, since it's the most widely accepted. Therefore, it is likely that the customer is asking if Oggi accepts American Express. The restaurant accepts American Express, so the waiter can confidently reply: ""Yes, we do.""",,explanation
cardBlanche,“Do you accept credit cards?” The waiter at the restaurant replies:,American Express,Visa,Card Blanche,There are three types of credit cards:,"It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",The waiter at the restaurant replies:,"American Express, Visa and Card Blanche.","There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",low_prior,The restaurant Oggi accepts all cards except the most frequent American Express. A customer calls the restaurant and asks:,"There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the most frequent American Express. A customer calls the restaurant and asks:",meta-llama/Meta-Llama-3-70B-Instruct,"There are three types of laptops commonly used in your town: Acer laptops, MacBooks and Dell laptops. It is common knowledge that Acer laptops are used by most people, MacBooks are used by fewer people, and Dell laptops are very rare.A hypermarket carries laptop chargers for all types of laptops except the least common Dell laptops. A customer walks in and asks a salesperson: Do you have laptop chargers? Let's think step by step. The salesperson reasons about the kind of laptop the customer most likely needs a charger for. Given their common knowledge, it is most likely that the customer has an Acer laptop. Therefore, it is likely that the customer is interested in an Acer charger. The hypermarket has Acer chargers and can therefore satisfy the customer's potential needs.

Your turn.
There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the most frequent American Express. A customer calls the restaurant and asks: “Do you accept credit cards?” The waiter at the restaurant replies:","Let's think step by step. The waiter reasons about the kind of credit card the customer most likely has. Given their common knowledge, it is most likely that the customer does not have an American Express card, since it is the most frequent one and the restaurant does not accept it. Therefore, it is likely that the customer has either Visa or Card Blanche. Between the two, Visa is more commonly accepted, so it is more likely that the customer has a Visa card. The restaurant accepts Visa cards and can therefore satisfy the customer's potential needs. The waiter replies: ""Yes, we accept credit cards.""",,explanation
cardBlanche,“Do you accept credit cards?” The waiter at the restaurant replies:,American Express,Visa,Card Blanche,There are three types of credit cards:,"It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",The waiter at the restaurant replies:,"American Express, Visa and Card Blanche.","There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",low_prior,The restaurant Oggi accepts all cards except the most frequent American Express. A customer calls the restaurant and asks:,"There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the most frequent American Express. A customer calls the restaurant and asks:",meta-llama/Meta-Llama-3-70B-Instruct,"There are three types of laptops commonly used in your town: Acer laptops, MacBooks and Dell laptops. It is common knowledge that Acer laptops are used by most people, MacBooks are used by fewer people, and Dell laptops are very rare.A hypermarket carries laptop chargers for all types of laptops except the least common Dell laptops. A customer walks in and asks a salesperson: Do you have laptop chargers? Let's think step by step. The salesperson reasons about the kind of laptop the customer most likely needs a charger for. Given their common knowledge, it is most likely that the customer has an Acer laptop. Therefore, it is likely that the customer is interested in an Acer charger. The hypermarket has Acer chargers and can therefore satisfy the customer's potential needs.

Your turn.
There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the most frequent American Express. A customer calls the restaurant and asks: “Do you accept credit cards?” The waiter at the restaurant replies:","A similar scenario! Let's think step by step.

The waiter reasons about the kind of credit card the customer most likely has. Given their common knowledge, it is most likely that the customer does not have an American Express card, since it's the most frequent one and the restaurant doesn't accept it. Therefore, it's likely that the customer has either a Visa or a Card Blanche. The restaurant accepts Visa, but not Card Blanche, which is the rarest.

So, the waiter replies: ""Yes, we accept credit cards. We take Visa.""",,explanation
cardBlanche,“Do you accept credit cards?” The waiter at the restaurant replies:,American Express,Visa,Card Blanche,There are three types of credit cards:,"It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",The waiter at the restaurant replies:,"American Express, Visa and Card Blanche.","There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",low_prior,The restaurant Oggi accepts all cards except the most frequent American Express. A customer calls the restaurant and asks:,"There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the most frequent American Express. A customer calls the restaurant and asks:",meta-llama/Meta-Llama-3-70B-Instruct,"There are three types of laptops commonly used in your town: Acer laptops, MacBooks and Dell laptops. It is common knowledge that Acer laptops are used by most people, MacBooks are used by fewer people, and Dell laptops are very rare.A hypermarket carries laptop chargers for all types of laptops except the least common Dell laptops. A customer walks in and asks a salesperson: Do you have laptop chargers? Let's think step by step. The salesperson reasons about the kind of laptop the customer most likely needs a charger for. Given their common knowledge, it is most likely that the customer has an Acer laptop. Therefore, it is likely that the customer is interested in an Acer charger. The hypermarket has Acer chargers and can therefore satisfy the customer's potential needs.

Your turn.
There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the most frequent American Express. A customer calls the restaurant and asks: “Do you accept credit cards?” The waiter at the restaurant replies:","Interesting! The waiter reasons about the kind of credit card the customer most likely has. Given their common knowledge, it is most likely that the customer has a Visa card, as it is the middle-of-the-road option in terms of acceptance frequency. Therefore, it is likely that the customer is asking about Visa. The restaurant does accept Visa and can therefore satisfy the customer's potential needs.

The waiter replies: ""Yes, we accept credit cards.""",,explanation
cardBlanche,“Do you accept credit cards?” The waiter at the restaurant replies:,American Express,Visa,Card Blanche,There are three types of credit cards:,"It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",The waiter at the restaurant replies:,"American Express, Visa and Card Blanche.","There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",low_prior,The restaurant Oggi accepts all cards except the most frequent American Express. A customer calls the restaurant and asks:,"There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the most frequent American Express. A customer calls the restaurant and asks:",meta-llama/Meta-Llama-3-70B-Instruct,"There are three types of laptops commonly used in your town: Acer laptops, MacBooks and Dell laptops. It is common knowledge that Acer laptops are used by most people, MacBooks are used by fewer people, and Dell laptops are very rare.A hypermarket carries laptop chargers for all types of laptops except the least common Dell laptops. A customer walks in and asks a salesperson: Do you have laptop chargers? Let's think step by step. The salesperson reasons about the kind of laptop the customer most likely needs a charger for. Given their common knowledge, it is most likely that the customer has an Acer laptop. Therefore, it is likely that the customer is interested in an Acer charger. The hypermarket has Acer chargers and can therefore satisfy the customer's potential needs.

Your turn.
There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the most frequent American Express. A customer calls the restaurant and asks: “Do you accept credit cards?” The waiter at the restaurant replies:","Let's think step by step. The waiter reasons about the kind of credit card the customer most likely has. Given their common knowledge, it is most likely that the customer has a Visa card. Therefore, it is likely that the customer is asking about Visa cards. The restaurant accepts Visa cards and can therefore satisfy the customer's potential needs.

Waiter: ""Yes, we do.""",,explanation
cardBlanche,“Do you accept credit cards?” The waiter at the restaurant replies:,American Express,Visa,Card Blanche,There are three types of credit cards:,"It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",The waiter at the restaurant replies:,"American Express, Visa and Card Blanche.","There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",low_prior,The restaurant Oggi accepts all cards except the most frequent American Express. A customer calls the restaurant and asks:,"There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the most frequent American Express. A customer calls the restaurant and asks:",meta-llama/Meta-Llama-3-70B-Instruct,"There are three types of laptops commonly used in your town: Acer laptops, MacBooks and Dell laptops. It is common knowledge that Acer laptops are used by most people, MacBooks are used by fewer people, and Dell laptops are very rare.A hypermarket carries laptop chargers for all types of laptops except the least common Dell laptops. A customer walks in and asks a salesperson: Do you have laptop chargers? Let's think step by step. The salesperson reasons about the kind of laptop the customer most likely needs a charger for. Given their common knowledge, it is most likely that the customer has an Acer laptop. Therefore, it is likely that the customer is interested in an Acer charger. The hypermarket has Acer chargers and can therefore satisfy the customer's potential needs.

Your turn.
There are three types of credit cards: American Express, Visa and Card Blanche. It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely. The restaurant Oggi accepts all cards except the most frequent American Express. A customer calls the restaurant and asks: “Do you accept credit cards?” The waiter at the restaurant replies:","Let's think step by step. The waiter reasons about the kind of credit card the customer most likely has. Given their common knowledge, it is most likely that the customer does not have an American Express card, since it is the most frequent and the restaurant doesn't accept it. Therefore, it is likely that the customer has either a Visa or a Card Blanche. Since Card Blanche is the least common, it is more likely that the customer has a Visa card. The restaurant accepts Visa and can therefore satisfy the customer's potential needs.

So, the waiter replies: ""Yes, we accept credit cards.""",,explanation
