submission_id,age,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,responseTime,settingName,trialNr,trial_type,itemName,answer,category,response_option,option_category,new_category
4627,30,,main,Graduated College,169632,1672165773559,1672165603927,male,English,30770,gymActivities,2,main,gym-boxing,Sorry we only offer kickboxing,competitor,kickboxing,competitor,competitor
4647,43,,main,Graduated College,120215,1672168597056,1672168476841,male,English,25696,dutyFree,1,main,dutyFree-smokes,"No, but we sell cigarettes.",competitor,cigarettes,competitor,competitor
4647,43,,main,Graduated College,120215,1672168597056,1672168476841,male,English,22240,kidsActivities,2,main,kidsActivities-crafts,"No, but there's carpentry if you're interested.",competitor,carpentry,competitor,competitor
4647,43,,main,Graduated College,120215,1672168597056,1672168476841,male,English,16424,interior,3,main,interior-green,"No, only agave plant.",competitor,agave,competitor,competitor
4647,43,,main,Graduated College,120215,1672168597056,1672168476841,male,English,18200,touristInfo,5,main,touristInfo-childTheatre,"No, but there is a circus show.",competitor,circus,competitor,competitor
4652,36,,main,Graduated High-school,217810,1672168701395,1672168483585,female,"english, welsh",70989,clothing,1,main,clothing-acc,"sorry, unfortunately we're out of stock at this time. Would you be interested in necklaces instead perhaps?",competitor,necklace,competitor,competitor
4652,36,,main,Graduated High-school,217810,1672168701395,1672168483585,female,"english, welsh",35979,interior,2,main,interior-deco,"only oil, want to take a look?",competitor,oil painting,competitor,competitor
4652,36,,main,Graduated High-school,217810,1672168701395,1672168483585,female,"english, welsh",31522,zoo,5,main,zoo-reptiles,do you mean iguanas?,competitor,iguana,competitor,competitor
4664,51,thanks,main,Higher degree,451527,1672169690783,1672169239256,male,English,97448,books,3,main,books-romance,"""Sorry, I don't have them at the moment, though I do have books of French love letters if you are interested""",competitor,French love letters,competitor,competitor
4615,21,I think just make the  font size a little bit bigger,main,Higher degree,164587,1672164847535,1672164682948,female,English,15526,electronics,3,main,electronics-laptop,No only the Macbook air.,competitor,MacBook Air,competitor,competitor
4631,56,All good!,main,Graduated College,180499,1672165849506,1672165669007,male,English,41232,bar,4,main,bar-tea,"No,sorry, but we do have iced coffee, if you’d like that.",competitor,iced coffee,competitor,competitor
4632,69,,main,Graduated High-school,208141,1672165879722,1672165671581,female,English,29856,petAdoption,3,main,petAdoption-dogs,"No I'm sorry, but we have some lovely golden retrievers if you were interested",competitor,golden retriever,competitor,competitor
4632,69,,main,Graduated High-school,208141,1672165879722,1672165671581,female,English,49439,bar,4,main,bar-whiteWine,"Sorry, but no.  However ,we do have some rather delicious chardonnay",competitor,Chardonnay,competitor,competitor
4632,69,,main,Graduated High-school,208141,1672165879722,1672165671581,female,English,29952,dutyFree,5,main,dutyFree-smokes,"NO, I'm sorry I only have cigarettes.",competitor,cigarettes,competitor,competitor
4607,60,,main,Graduated College,232254,1672163527107,1672163294853,female,English,38855,zoo,3,main,zoo-xl,There aren't any tigers but we could see a lion.,competitor,lion,competitor,competitor
4607,60,,main,Graduated College,232254,1672163527107,1672163294853,female,English,30326,gymActivities,4,main,gym-yoga,No sorry but we can offer pilates.,competitor,pilates,competitor,competitor
4607,60,,main,Graduated College,232254,1672163527107,1672163294853,female,English,61124,interior,5,main,interior-green,No but I do have an agarve plant.,competitor,agave,competitor,competitor
4616,27,,main,Higher degree,132469,1672164859766,1672164727297,female,,25738,electronics,3,main,electronics-laptop,"No sorry, we have the MacBook Air though if that interests you.",competitor,MacBook Air,competitor,competitor
4616,27,,main,Higher degree,132469,1672164859766,1672164727297,female,,21221,cafe,5,main,cafe-pie,"Not a cake, but we have raspberry pie.",competitor,raspberry pie,competitor,competitor
4637,56,,main,Higher degree,293013,1672166014283,1672165721270,male,English,48173,electronics,3,main,electronics-laptop,"No, but i have a macbook air",competitor,MacBook Air,competitor,competitor
4637,56,,main,Higher degree,293013,1672166014283,1672165721270,male,English,41909,books,5,main,books-romance,"No, would french love letters be of any interest?",competitor,French love letters,competitor,competitor
4614,30,,main,Graduated College,142055,1672164834373,1672164692318,male,English,32390,zoo,2,main,zoo-xl,We can go and see the lions which are similar to tigers.,competitor,lion,competitor,competitor
4614,30,,main,Graduated College,142055,1672164834373,1672164692318,male,English,20315,books,5,main,books-romance,"No, but we do have French love letters.",competitor,French love letters,competitor,competitor
4617,24,,main,Graduated College,183518,1672164871173,1672164687655,female,"English, Japanese",25192,gymActivities,1,main,gym-boxing,We have kickboxing classes - would you be interested in that?,competitor,kickboxing,competitor,competitor
4617,24,,main,Graduated College,183518,1672164871173,1672164687655,female,"English, Japanese",34546,friendsActivities,5,main,friendsActivities-videoEntertainment,I haven't got Netflix but I've got some movies we could watch. Take a look and pick out something you like!,competitor,movie,competitor,competitor
4624,22,,main,Higher degree,111973,1672165025747,1672164913774,female,English,19241,dutyFree,3,main,dutyFree-sweets,"We do not sell cookies. However, we do sell gingerbread which may suit you.",competitor,gingerbread,competitor,competitor
4624,22,,main,Higher degree,111973,1672165025747,1672164913774,female,English,26446,zoo,5,main,zoo-reptiles,"I'm sorry honey, there are no chameleons! Would you like to see an iguana instead?",competitor,iguana,competitor,competitor
4645,32,,main,Graduated High-school,114897,1672168586674,1672168471777,male,English,25916,electronics,1,main,electronics-laptop,No I only have a macnook air,competitor,MacBook Air,competitor,competitor
4645,32,,main,Graduated High-school,114897,1672168586674,1672168471777,male,English,17965,cafe,2,main,cafe-pie,No but we do have raspberry pie,competitor,raspberry pie,competitor,competitor
4645,32,,main,Graduated High-school,114897,1672168586674,1672168471777,male,English,27111,waterSport,3,main,waterSport-motor,No but we do have water ski equipment,competitor,water ski equipment,competitor,competitor
4645,32,,main,Graduated High-school,114897,1672168586674,1672168471777,male,English,14229,dutyFree,5,main,dutyFree-smokes,No only cigarettes,competitor,cigarettes,competitor,competitor
4669,32,,main,Graduated College,166429,1672171749381,1672171582952,female,English,36004,books,2,main,books-romance,No. We have a book of french love letters,competitor,French love letters,competitor,competitor
4669,32,,main,Graduated College,166429,1672171749381,1672171582952,female,English,24381,electronics,4,main,electronics-laptop,No. We have a MacBook Air,competitor,MacBook Air,competitor,competitor
4669,32,,main,Graduated College,166429,1672171749381,1672171582952,female,English,35646,interior,5,main,interior-green,"No, I have an agave plant",competitor,agave,competitor,competitor
4676,39,,main,Graduated College,293514,1672171892794,1672171599280,male,English,28662,books,3,main,books-romance,We've got french love letters will that do?,competitor,French love letters,competitor,competitor
4676,39,,main,Graduated College,293514,1672171892794,1672171599280,male,English,40426,zoo,4,main,zoo-xl,"Unfortunately there is no Tiger, but the lions are good!",competitor,lion,competitor,competitor
4619,34,,main,Graduated High-school,208664,1672164898665,1672164690001,female,British,31542,bar,1,main,bar-whiteWine,"No, I have chardonnay",competitor,Chardonnay,competitor,competitor
4619,34,,main,Graduated High-school,208664,1672164898665,1672164690001,female,British,50345,gymActivities,3,main,gym-yoga,"No, but we do offer Pilates",competitor,pilates,competitor,competitor
4619,34,,main,Graduated High-school,208664,1672164898665,1672164690001,female,British,26526,touristInfo,4,main,touristInfo-childTheatre,No but we have a circus performance,competitor,circus,competitor,competitor
4623,55,Just to say good luck,main,Higher degree,312976,1672165009891,1672164696915,male,English,51478,waterSport,3,main,waterSport-muscle,We don't rent canoes but kayaks are similar,competitor,kayak,competitor,competitor
4623,55,Just to say good luck,main,Higher degree,312976,1672165009891,1672164696915,male,English,41312,cafe,4,main,cafe-pizza,"If you accept cheese pizza is vegetarian, then yes we do",competitor,cheese,competitor,competitor
4623,55,Just to say good luck,main,Higher degree,312976,1672165009891,1672164696915,male,English,29874,gymActivities,5,main,gym-boxing,"I'm sorry, we only have kickboxing",competitor,kickboxing,competitor,competitor
4653,45,,main,Graduated High-school,217021,1672168702974,1672168485953,female,English,27015,gymActivities,2,main,gym-boxing,We do a kickboxing class.,competitor,kickboxing,competitor,competitor
4653,45,,main,Graduated High-school,217021,1672168702974,1672168485953,female,English,18761,waterSport,5,main,waterSport-muscle,We have kayaks.,competitor,kayak,competitor,competitor
4605,23,,main,Graduated College,247064,1672163430843,1672163183779,female,English,95905,bookingAgency,2,main,bookingAgency-highClassAccommodation,"No, there are no single rooms in any five-star hotels available. The closest to this is a suite in a four-star hotel.",competitor,four-star hotel,competitor,competitor
4605,23,,main,Graduated College,247064,1672163430843,1672163183779,female,English,45019,cafe,5,main,cafe-pizza,"We have cheese pizza which is vegeterian, however we do not have any pizzas with vegetable toppings.",competitor,cheese,competitor,competitor
4633,40,,main,Graduated College,200187,1672165880913,1672165680726,male,English,24868,gymActivities,4,main,gym-boxing,No but you could try kick-boxing if you like,competitor,kickboxing,competitor,competitor
4633,40,,main,Graduated College,200187,1672165880913,1672165680726,male,English,22212,petAdoption,5,main,petAdoption-hamster,No but we have gerbils if you like,competitor,gerbil,competitor,competitor
4643,60,,main,Graduated College,678649,1672166354788,1672165676139,male,English,110730,kidsActivities,1,main,kidsActivities-sports,We have an acrobatics class which is similar to gymnastics.,competitor,acrobatics,competitor,competitor
4643,60,,main,Graduated College,678649,1672166354788,1672165676139,male,English,148032,interior,4,main,interior-deco,No. I have oil paintings though. Would you like to have a look at them ? I painted them myself.,competitor,oil painting,competitor,competitor
4613,30,,main,Graduated College,112591,1672164823439,1672164710848,female,English,22371,bar,2,main,bar-tea,"I'm sorry we don't, but we do have iced coffee if that's any good for you?",competitor,iced coffee,competitor,competitor
4613,30,,main,Graduated College,112591,1672164823439,1672164710848,female,English,26191,touristInfo,5,main,touristInfo-clubbing,"There is a club event, but it's with hip hop rather than electronic music.",competitor,hip hop DJ,competitor,competitor
