submission_id,age,answer,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemName,languages,responseTime,settingName,trialNr,trial_type
4606,32,no there isnt,NA,main,Graduated High-school,166212,1672163481375,1672163315163,NA,kidsActivities-sports,NA,40817,kidsActivities,1,main
4606,32,classic,NA,classic,Graduated High-school,166212,1672163481375,1672163315163,NA,music-softrock,NA,27159,music,2,filler
4606,32,no we dont,NA,main,Graduated High-school,166212,1672163481375,1672163315163,NA,gym-boxing,NA,39864,gymActivities,3,main
4606,32,no none,NA,main,Graduated High-school,166212,1672163481375,1672163315163,NA,bookingAgency-highClassAccommodation,NA,25392,bookingAgency,4,main
4606,32,no we dont,NA,main,Graduated High-school,166212,1672163481375,1672163315163,NA,electronics-console,NA,20216,electronics,5,main
4627,30,No we have no hamsters sorry,NA,main,Graduated College,169632,1672165773559,1672165603927,male,petAdoption-hamster,English,27669,petAdoption,1,main
4627,30,Sorry we only offer kickboxing,NA,main,Graduated College,169632,1672165773559,1672165603927,male,gym-boxing,English,30770,gymActivities,2,main
4627,30,"We dont have watercolour but we do have, Oil paintings and printed photographs",NA,main,Graduated College,169632,1672165773559,1672165603927,male,interior-deco,English,41141,interior,3,main
4627,30,No we only sell books on french love letters and adventure novels,NA,main,Graduated College,169632,1672165773559,1672165603927,male,books-fantasy,English,33634,books,4,main
4627,30,classic,NA,classic,Graduated College,169632,1672165773559,1672165603927,male,music-softrock,English,18420,music,5,filler
4639,33,"No, we do not offer yoga classes, we only offer pilates class, kickboxing, and zumba classes.",NA,main,Graduated College,430559,1672166107088,1672165676529,male,gym-yoga,"English, Yoruba",74124,gymActivities,1,main
4639,33,"No, we do not have Dalmatians",NA,main,Graduated College,430559,1672166107088,1672165676529,male,petAdoption-dogs,"English, Yoruba",99952,petAdoption,2,main
4639,33,"Unfortunately, we do not have a book of love poems",NA,main,Graduated College,430559,1672166107088,1672165676529,male,books-romance,"English, Yoruba",131067,books,3,main
4639,33,motorcycle,NA,motorcycle,Graduated College,430559,1672166107088,1672165676529,male,carRental-fun,"English, Yoruba",41115,carRental,4,filler
4639,33,"No, we do not Hawaiian shirts",NA,main,Graduated College,430559,1672166107088,1672165676529,male,clothing-clothes,"English, Yoruba",49447,clothing,5,main
