submission_id,age,ambiguous_response,itemName,category,answer,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,responseTime,settingName,trialNr,trial_type
88,33,1,touristInfo-clubbing,competitor/other,"I don't believe there is, but there is a club with a hip hop DJ.  Otherwise there is a rock concert, live jazz, street performers or a circus show if any of those interest you instead.",NA,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,70604,touristInfo,8,main
92,62,1,cafe-pizza,competitor,Yes we have a cheese pizza.,NA,main,Graduated College,520701,1667218817681,1667218296980,female,English,35283,cafe,5,main
93,41,1,dutyFree-sweets,other,we have something similar,NA,main,Higher degree,592941,1667218861635,1667218268694,male,NA,24487,dutyFree,6,main
95,34,1,disney-princess,other,"Unfortunately Moana is away fishing today, is there any other people you would like to meet?",NA,main,Higher degree,648267,1667218918202,1667218269935,female,English,59807,disney,4,main
105,37,1,gym-yoga,other,"No, sorry, but here is what we do offer",NA,main,Graduated High-school,485605,1667240354134,1667239868529,female,English,29495,gymActivities,4,main
108,29,1,books-romance,taciturn,"I'm sorry, we don't currently. Would you like me to order some?",NA,main,Graduated College,562006,1667240441550,1667239879544,female,English,94747,books,2,main
108,29,1,kidsActivities-crafts,other,"No, here is a list of available classes",NA,main,Graduated College,562006,1667240441550,1667239879544,female,English,18334,kidsActivities,7,main
107,51,1,furniture-indoors,competitor/other,"we have e rocking chair , thats as close as we have if thats any good ? or a sofa",ran well,main,Graduated High-school,538631,1667240410521,1667239871890,male,English,85424,furniture,1,main
107,51,1,kidsActivities-crafts,competitor/other,no but we have many others like painting,ran well,main,Graduated High-school,538631,1667240410521,1667239871890,male,English,48249,kidsActivities,9,main
139,42,1,furniture-indoors,other,I do not have one on display but I can see if we have one in the back of the store,NA,main,Graduated College,365151,1667310941530,1667310576379,female,English,56674,furniture,1,main
148,34,1,bar-tea,other,"We don't, is there something else I could offer you?",NA,main,Graduated High-school,443610,1667311022151,1667310578541,female,English,32152,bar,9,main
138,48,1,zoo-xl,other,"The map says there isn't a tiger, but we could ask a member of staff",NA,main,Higher degree,355196,1667310920159,1667310564963,female,English,30652,zoo,5,main
138,48,1,movie-fantasy,taciturn,We do not have any fantasy programmed. Are you interested in any other genres?,NA,main,Higher degree,355196,1667310920159,1667310564963,female,English,26934,movie,9,main
167,56,1,clothing-beach,other,"Hiya, so sorry but we don't have any at the moment. Have you tried the charity shops on the high street?",NA,main,Graduated High-school,1039270,1667311622930,1667310583660,female,English,101001,clothing,4,main
167,56,1,books-romance,other,Sorry we don't have any but I can order some in for you if you'd like.,NA,main,Graduated High-school,1039270,1667311622930,1667310583660,female,English,176069,books,7,main
167,56,1,furniture-indoors,other,Sorry we don't currently have one. I'll keep an eye out for you though.,NA,main,Graduated High-school,1039270,1667311622930,1667310583660,female,English,52294,furniture,9,main
135,49,1,zoo-reptiles,other,"I don't think we can, but I'll ask if there are any not on the map.",NA,main,Graduated High-school,303512,1667310885944,1667310582432,male,English,42491,zoo,10,main
160,61,1,disney-princess,other,"Sorry, I don't know who Moana is, what about Batman, Cinderella or Spiderman?",NA,main,Did not graduate High-school,620366,1667311208761,1667310588395,female,English,51416,disney,4,main
160,61,1,zoo-reptiles,fullList,"Later, first lets go check out the gorillas, snakes, lion, turtles and iguanas and if we have any time left I will check for the chameleon",NA,main,Did not graduate High-school,620366,1667311208761,1667310588395,female,English,62689,zoo,8,main
