submission_id,age,answer,category,comments,condition,correct_response,education,gender,itemName,languages,responseTime,trialNr,trial_type
3363,30,Yes we do! How can I help you?,taciturn,This was a fun study.,low_prior,NA,Graduated College,female,videoGames,English and Spanish,67432,1,main
3363,30,"Yes, you can. Your closest options would be McCafé and Starbucks. I recommend you check out Starbuckd first, as they always have decaf options.",fullList,This was a fun study.,high_prior,NA,Graduated College,female,coffeeShop,English and Spanish,114744,2,main
3363,30,Hi! We accept all credit cards except Card Blanche.,exceptive,This was a fun study.,high_prior,NA,Graduated College,female,cardBlanche,English and Spanish,44867,3,main
3363,30,"There is a small phone repair shop located in our mall, however I advise against going if you happen to own an iPhone, as they do not repair those.",exceptive,This was a fun study.,low_prior,NA,Graduated College,female,phoneRepair,English and Spanish,87495,4,main
3363,30,teacher,,This was a fun study.,filler,teacher,Graduated College,female,jobCenter-engineer,English and Spanish,27231,5,filler
3364,29,"Yes, we gave parking for bikes and helicopters, but no parking garage for cars.","fullList, exceptive",,low_prior,NA,Graduated College,female,parking,English,76351,1,main
3364,29,London,,,filler,London,Graduated College,female,airport-usa,English,15582,2,filler
3364,29,"Yes, there are multiple vehicles from Zipcar and Car2Go here.",fullList,,high_prior,NA,Graduated College,female,carshring,English,95583,3,main
3364,29,You could try Taco Bell or McDonalds to see what they offer.,fullList,,high_prior,NA,Graduated College,female,foodCourt,English,36801,4,main
3364,29,Yes we have green juice and orange juice.,fullList,,low_prior,NA,Graduated College,female,airplaneJuice,English,35399,5,main
3365,24,"We have electric bikes, electric scooters, and mopeds.",yes,,low_prior,NA,Graduated College,other,dricersLicense,English,26726,1,main
3365,24,You can! I have Facebook and Instagram!,fullList,,high_prior,NA,Graduated College,other,socialMedia,English,29104,2,main
3365,24,We accept American Express and Visa.,fullList,,high_prior,NA,Graduated College,other,cardBlanche,English,16156,3,main
3365,24,"There is, but they can only repair Samsung and Google Pixels.",fullList,,low_prior,NA,Graduated College,other,phoneRepair,English,40040,4,main
3365,24,classic,,,filler,classic,Graduated College,other,music-hardrock,English,7026,5,filler
3366,61,There is McDonalds which has a limited amount f vegan options as well as Shake Shack which may or may not have some vegan options,fullList,,low_prior,NA,Higher degree,female,foodCourt,English and Spanish,87311,1,main
3366,61,You can try McCAfe which sometimes has decaf options or try Cafe Nero which sometimes has limited edition decaf options.,fullList,,low_prior,NA,Higher degree,female,coffeeShop,English and Spanish,88965,2,main
3366,61,"Yes you can, there are Car2Go and Zipcar available right in front of the cinema",fullList,,high_prior,NA,Higher degree,female,carshring,English and Spanish,80714,3,main
3366,61,Yes we have tomato juice and orange juice available.,fullList,,high_prior,NA,Higher degree,female,airplaneJuice,English and Spanish,45899,4,main
3366,61,teacher,,,filler,teacher,Higher degree,female,jobCenter-engineer,English and Spanish,23518,5,filler
3367,84,Yes. You are most likely to find vegan options at Taco Bell and McDonalds.,fullList,,high_prior,NA,Graduated College,female,foodCourt,English,67029,1,main
3367,84,London,,,filler,London,Graduated College,female,airport-europe-UPDATED,English,15334,2,filler
3367,84,"Yes, we except all cards except American Express.",exceptive,,low_prior,NA,Graduated College,female,cardBlanche,English,52551,3,main
3367,84,"Yes, it accepts all phones except Google Pixels.",exceptive,,high_prior,NA,Graduated College,female,phoneRepair,English,46880,4,main
3367,84,"Yes, your best bet is Starbucks.",mostLikely,,low_prior,NA,Graduated College,female,coffeeShop,English,32993,5,main
3368,34,"Yes,we do.",taciturn,,low_prior,NA,Higher degree,female,airplaneJuice,English,53988,1,main
3368,34,London,,,filler,London,Higher degree,female,airport-usa,English,16205,2,filler
3368,34,"Yes, we have parking for cars and bikes. Thank you.",fullList,,high_prior,NA,Higher degree,female,parking,English,59373,3,main
3368,34,"Yes, please. We have two; Taco Bell and McDonalds .",fullList,,high_prior,NA,Higher degree,female,foodCourt,English,144108,4,main
3368,34,"Yes, please. He is my handles for Instagram and Thread,",fullList,,low_prior,NA,Higher degree,female,socialMedia,English,67325,5,main
