submission_id,age,ambiguous_response,itemName,category,answer,comments,correct_response,education,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,responseTime,settingName,trialNr,trial_type,competitor,sameCategory,otherCategory
80,49,NA,touristInfo-childTheatre,competitor,No I'm sorry there isn't.  There is a circus on though.   Would you like the details?,NA,main,Graduated College,1022613,1667217900813,1667216878200,female,NA,91713,touristInfo,1,main,0.7173333333333334,0.29066666666666663,0.23266666666666666
80,49,NA,electronics-laptop,competitor,No I'm sorry.   We do have a MacBook Air if you would like to look at that.,NA,main,Graduated College,1022613,1667217900813,1667216878200,female,NA,91031,electronics,2,main,0.68,0.27375000000000005,0.21125
80,49,NA,waterSport-motor,fullList,"No I'm sorry.   We have small sail boats, speedboats, pedal boats, water ski equipment mnd kayaks if you bare interested.",NA,main,Graduated College,1022613,1667217900813,1667216878200,female,NA,157419,waterSport,3,main,0.7446666666666667,0.6006666666666667,0.5023333333333333
80,49,NA,disney-action,fullList,"No sorry.  Superman isnt available today...but you can see Spiderman, Ariel, Princess Elsa, Batman and the Hulk.",NA,main,Graduated College,1022613,1667217900813,1667216878200,female,NA,99278,disney,4,main,0.8253846153846154,0.7434615384615384,0.3388461538461539
80,49,NA,zoo-xl,competitor,There isn't a tiger in this zoo...but we can go and see the lion !!,NA,main,Graduated College,1022613,1667217900813,1667216878200,female,NA,73905,zoo,5,main,0.8553846153846153,0.6488461538461539,0.4826923076923077
80,49,NA,gym-yoga,competitor,No we don't do yoga classes. ..we do offer pirates classes though.,NA,main,Graduated College,1022613,1667217900813,1667216878200,female,NA,39642,gymActivities,7,main,0.62,0.5859090909090909,0.2913636363636364
80,49,NA,friendsActivities-boardGames,other,No I haven't got clue bit I've got lots of other games...have a look and see which ones you like,NA,main,Graduated College,1022613,1667217900813,1667216878200,female,NA,51138,friendsActivities,9,main,0.69,0.51,0.35857142857142854
80,49,NA,kidsActivities-crafts,fullList,"No there isn't.  We have got lot of other classes though....swimming , watercolour painting,  sewing, origami and acrobatics !",NA,main,Graduated College,1022613,1667217900813,1667216878200,female,NA,229081,kidsActivities,10,main,0.65875,0.6168750000000001,0.29125
83,42,NA,petAdoption-hamster,taciturn,We do not have any hamsters at the moment.,NA,main,Higher degree,249186,1667218497844,1667218248658,male,English,31604,petAdoption,1,main,0.7925,0.5428125,0.2003125
83,42,NA,dutyFree-sweets,taciturn,"We don't sell cookies, sorry.",NA,main,Higher degree,249186,1667218497844,1667218248658,male,English,15927,dutyFree,2,main,0.7011111111111111,0.6200000000000001,0.4216666666666667
83,42,NA,furniture-outdoors,taciturn,"Sorry, we don't have a deck chair.",NA,main,Higher degree,249186,1667218497844,1667218248658,male,English,40897,furniture,4,main,0.6264285714285714,0.5828571428571429,0.32285714285714284
83,42,NA,electronics-console,taciturn,"We have no PlayStations in stock, sorry.",NA,main,Higher degree,249186,1667218497844,1667218248658,male,English,17022,electronics,5,main,0.446875,0.43937499999999996,0.3746875
83,42,NA,movie-western,taciturn,We're not showing any Western's at the moment.,NA,main,Higher degree,249186,1667218497844,1667218248658,male,English,20146,movie,6,main,0.71,0.4760714285714286,0.3867857142857143
83,42,NA,plants-flowers,taciturn,"We haven't, sorry.",NA,main,Higher degree,249186,1667218497844,1667218248658,male,English,17376,plants,7,main,0.6066666666666667,0.5393333333333333,0.474
83,42,NA,touristInfo-clubbing,taciturn,There's no electronic music in town today.,NA,main,Higher degree,249186,1667218497844,1667218248658,male,English,22719,touristInfo,8,main,0.6145454545454545,0.4509090909090909,0.3190909090909091
83,42,NA,bar-tea,taciturn,"We don't serve sweet tea, sorry.",NA,main,Higher degree,249186,1667218497844,1667218248658,male,English,15024,bar,11,main,0.5914285714285714,0.5557142857142858,0.2414285714285714
90,40,NA,furniture-indoors,other,"Unfortunately not, but we do have other items on display.",NA,main,Graduated College,454429,1667218707469,1667218253040,female,English,69455,furniture,1,main,0.502,0.40700000000000003,0.31700000000000006
90,40,NA,disney-action,taciturn,Unfortunately Superman isn't available today.,NA,main,Graduated College,454429,1667218707469,1667218253040,female,English,30159,disney,3,main,0.8253846153846154,0.7434615384615384,0.3388461538461539
90,40,NA,electronics-laptop,competitor,"Unfortunately not, but we do have a MacBook Air.",NA,main,Graduated College,454429,1667218707469,1667218253040,female,English,75698,electronics,5,main,0.68,0.27375000000000005,0.21125
90,40,NA,kidsActivities-crafts,other,"Unfortunately not, but we have other classes you may be interested in.",NA,main,Graduated College,454429,1667218707469,1667218253040,female,English,38318,kidsActivities,6,main,0.65875,0.6168750000000001,0.29125
90,40,NA,plants-green,other,"Unfortunately not, but I've got other flowers and plants if you want to take a look?",NA,main,Graduated College,454429,1667218707469,1667218253040,female,English,48092,plants,7,main,0.5927777777777777,0.4822222222222222,0.4772222222222222
90,40,NA,gym-yoga,competitor,"Unfortunately not, but we do have a plates class if that's of any interest?",NA,main,Graduated College,454429,1667218707469,1667218253040,female,English,35613,gymActivities,9,main,0.62,0.5859090909090909,0.2913636363636364
90,40,NA,cafe-pie,competitor,"Unfortunately not, but we do have raspberry pie.",NA,main,Graduated College,454429,1667218707469,1667218253040,female,English,21690,cafe,10,main,0.726,0.33099999999999996,0.22899999999999998
90,40,NA,movie-fantasy,other,"Unfortunately not, but there are other options available if you wanted to try something else.",NA,main,Graduated College,454429,1667218707469,1667218253040,female,English,39183,movie,11,main,0.5854545454545454,0.46545454545454545,0.6022727272727273
88,33,NA,dutyFree-sweets,competitor,We sell gingerbread if that's any good.,NA,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,41613,dutyFree,1,main,0.7011111111111111,0.6200000000000001,0.4216666666666667
88,33,NA,furniture-outdoors,taciturn,No sorry we don't have a deck chair,NA,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,17457,furniture,2,main,0.6264285714285714,0.5828571428571429,0.32285714285714284
88,33,NA,plants-flowers,competitor,"No sorry, but I have tulips!",NA,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,42053,plants,3,main,0.6066666666666667,0.5393333333333333,0.474
88,33,NA,books-fantasy,taciturn,"No sorry we don't sell fantasy novels.
",NA,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,28144,books,4,main,0.6138461538461538,0.6207692307692307,0.36269230769230765
88,33,NA,gym-boxing,competitor,We offer kickboxing classes if that's any good?,NA,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,20699,gymActivities,6,main,0.7658333333333333,0.6591666666666667,0.33458333333333334
88,33,NA,waterSport-muscle,competitor,"No sorry we don't rent canoes, but I can offer you a kayak instead if that would work?",NA,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,40791,waterSport,7,main,0.71375,0.6059375,0.42000000000000004
88,33,1,touristInfo-clubbing,competitor,"I don't believe there is, but there is a club with a hip hop DJ.  Otherwise there is a rock concert, live jazz, street performers or a circus show if any of those interest you instead.",NA,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,70604,touristInfo,8,main,0.6145454545454545,0.4509090909090909,0.3190909090909091
88,33,NA,movie-western,other,"No sorry we aren't playing a western today, but we have lots of other films on offer if something else would be of interest?",NA,main,Graduated High-school,351454,1667218614550,1667218263096,female,English,26119,movie,9,main,0.71,0.4760714285714286,0.3867857142857143
89,51,NA,furniture-outdoors,other,No i have none in stock but I do have these other chairs.,NA,main,Graduated High-school,403735,1667218643971,1667218240236,male,English,47715,furniture,1,main,0.6264285714285714,0.5828571428571429,0.32285714285714284
89,51,NA,touristInfo-clubbing,competitor,No but you make like the hip hop dj event,NA,main,Graduated High-school,403735,1667218643971,1667218240236,male,English,48541,touristInfo,4,main,0.6145454545454545,0.4509090909090909,0.3190909090909091
89,51,NA,bar-tea,competitor,No but can I interest you in some homemade lemonade,NA,main,Graduated High-school,403735,1667218643971,1667218240236,male,English,38127,bar,6,main,0.5914285714285714,0.5557142857142858,0.2414285714285714
89,51,NA,waterSport-muscle,competitor,Yes we have kayaks,NA,main,Graduated High-school,403735,1667218643971,1667218240236,male,English,34603,waterSport,7,main,0.71375,0.6059375,0.42000000000000004
89,51,NA,friendsActivities-videoEntertainment,sameCategory,No but I have a wii & playstation,NA,main,Graduated High-school,403735,1667218643971,1667218240236,male,English,34165,friendsActivities,8,main,0.4625,0.42291666666666666,0.2825
89,51,NA,bookingAgency-highClassAccommodation,other,No but we do have other options,NA,main,Graduated High-school,403735,1667218643971,1667218240236,male,English,41255,bookingAgency,9,main,0.6166666666666667,0.6683333333333334,0.09666666666666668
89,51,NA,kidsActivities-sports,sameCategory,No but we do have dancing & acrobatics classes,NA,main,Graduated High-school,403735,1667218643971,1667218240236,male,English,51076,kidsActivities,10,main,0.6115384615384616,0.5692307692307692,0.31346153846153846
89,51,NA,zoo-reptiles,other,No but there are other animals to see,NA,main,Graduated High-school,403735,1667218643971,1667218240236,male,English,26619,zoo,11,main,0.8405882352941176,0.655,0.4797058823529412
