submission_id,age,answer,category,comments,condition,correct_response,education,gender,itemName,languages,responseTime,trialNr,trial_type
3464,49,Yes please,taciturn,Good study,high_prior,NA,Higher degree,male,videoGames,English,9603,1,main
3464,49,No please,no,Good study,low_prior,NA,Higher degree,male,socialMedia,English,14887,2,main
3464,49,No please,no,Good study,filler,motorcycle,Higher degree,male,carRental-fun,English,15401,3,filler
3464,49,No please,no,Good study,high_prior,NA,Higher degree,male,coffeeShop,English,10236,4,main
3464,49,Yes please,taciturn,Good study,low_prior,NA,Higher degree,male,cardBlanche,English,13369,5,main
3399,43,yes,taciturn,,low_prior,NA,Graduated College,male,carshring,ENGLISH,130053,1,main
3399,43,YES on Facebook,mostLikely,,high_prior,NA,Graduated College,male,socialMedia,ENGLISH,61826,2,main
3399,43,"No
",no,,low_prior,NA,Graduated College,male,videoGames,ENGLISH,44464,3,main
3399,43,motorcycle,,,filler,motorcycle,Graduated College,male,carRental-moving,ENGLISH,31087,4,filler
3399,43,"YES
",taciturn,,high_prior,NA,Graduated College,male,cardBlanche,ENGLISH,39447,5,main
3394,29,There are not a lot of options but there are some,taciturn_more,,low_prior,NA,Higher degree,female,foodCourt,English,40786,1,main
3394,29,"yes we do, we have car and bike parking",fullList,,high_prior,NA,Higher degree,female,parking,English,23398,2,main
3394,29,"we do, just no playstation games",exceptive,,low_prior,NA,Higher degree,female,videoGames,English,27883,3,main
3394,29,"we do, just no electric bikes",exceptive,,high_prior,NA,Higher degree,female,dricersLicense,English,18153,4,main
3394,29,I do not,no,,filler,classic,Higher degree,female,music-hardrock,English,8319,5,filler
3395,74,"Yes, we have electric bikes and mopeds. ",fullList,,low_prior,NA,Higher degree,male,dricersLicense,English,107345,1,main
3395,74,Taco Bell. ,mostLikely,,high_prior,NA,Higher degree,male,foodCourt,English,54027,2,main
3395,74,Yes at Starbucks,mostLikely,,high_prior,NA,Higher degree,male,coffeeShop,English,37454,3,main
3395,74,London,,,filler,London,Higher degree,male,airport-usa,English,40994,4,filler
3395,74,Yes but we have limited number for Play Station,other,,low_prior,NA,Higher degree,male,videoGames,English,90911,5,main
3396,28,classic,,"I was born in the UK but raised in the US. My older, UK-English speaking family, often words things differently than I do and use different terms despite us both being natural speakers.",filler,classic,Graduated High-school,male,music-hardrock,English,11705,1,filler
3396,28,"""Yes, we have tomato juice and we have orange juice.""",fullList,"I was born in the UK but raised in the US. My older, UK-English speaking family, often words things differently than I do and use different terms despite us both being natural speakers.",high_prior,NA,Graduated High-school,male,airplaneJuice,English,28943,2,main
3396,28,"""Yes, we have GameCube and Wii games.""",fullList,"I was born in the UK but raised in the US. My older, UK-English speaking family, often words things differently than I do and use different terms despite us both being natural speakers.",low_prior,NA,Graduated High-school,male,videoGames,English,22225,3,main
3396,28,"No, not really, but McDonalds might have something available.",mostLikely,"I was born in the UK but raised in the US. My older, UK-English speaking family, often words things differently than I do and use different terms despite us both being natural speakers.",low_prior,NA,Graduated High-school,male,foodCourt,English,39376,4,main
3396,28,"Sure, I have Facebook and Instagram, which do you use more?",fullList,"I was born in the UK but raised in the US. My older, UK-English speaking family, often words things differently than I do and use different terms despite us both being natural speakers.",high_prior,NA,Graduated High-school,male,socialMedia,English,23495,5,main
3397,59,We do accept credit cards but only the following - Visa and Card Blanche. ,fullList,None ,low_prior,NA,Graduated College,female,cardBlanche,English ,125877,1,main
3397,59,"Yes, we have parking available for helicopters and for bikes only. ",fullList,None ,low_prior,NA,Graduated College,female,parking,English ,84663,2,main
3397,59,motorcycle ,,None ,filler,motorcycle,Graduated College,female,carRental-fun,English ,32740,3,filler
3397,59,"Yes, we have tomato juice and orange juice available. ",fullList,None ,high_prior,NA,Graduated College,female,airplaneJuice,English ,38211,4,main
3397,59,Yes there is. ,taciturn,None ,high_prior,NA,Graduated College,female,phoneRepair,English ,35366,5,main
3398,35,"Welcome to the store! Yes, we do sell video games for the Gamecube and the Wii. ",fullList,,low_prior,NA,Graduated College,female,videoGames,English,33371,1,main
3398,35,We offer scooters and bikes for you to get around town! ,fullList,,low_prior,NA,Graduated College,female,dricersLicense,English,62133,2,main
3398,35,"Yes, we accept Visa and American Express.",fullList,,high_prior,NA,Graduated College,female,cardBlanche,English,19960,3,main
3398,35,"There is a phone repair shop. However, they only repair iPhones and Samsung phones. ",fullList,,high_prior,NA,Graduated College,female,phoneRepair,English,36664,4,main
3398,35,motorcycle,,,filler,motorcycle,Graduated College,female,carRental-moving,English,8744,5,filler
3400,47,"Yes, there is a repair shop in the mall. They repair iPhones and Samsung phones. So, if you have one of those phones, they should be able to make the repair.",fullList,,high_prior,NA,Graduated College,male,phoneRepair,English,99379,1,main
3400,47,"Yes, we have video games for sale. We have Playstation and Wii games. The games are on the wall to my left and they are separated by the console type.",fullList,,high_prior,NA,Graduated College,male,videoGames,English,203688,2,main
3400,47,"Yes, we have a couple of different options. You may rent a scooter or a moped if you have a license.",fullList,,low_prior,NA,Graduated College,male,dricersLicense,English,157530,3,main
