itemName,predictions,probs,model_version
cafe-pie,"I'm sorry, we don't have raspberry cake. But we do have a delicious raspberry pie that you might like.",-0.19422230817389166,gpt-4-0613
cafe-pie,"I'm sorry, we don't have raspberry cake today. But we do have raspberry pie which would be most similar. Would you like to give that a try?",-0.7355640864871908,gpt-4-0613
cafe-pie,"I'm sorry, I don't have any raspberry cake. But I do have some raspberry pie.",-0.0787591493844225,gpt-4-0613
cafe-pie,"I'm sorry, we don't have raspberry cake today. However, we do have a delicious raspberry pie.",-0.25576055974568185,gpt-4-0613
cafe-pie,"I'm sorry, we don't have raspberry cake. However, we do have a delicious raspberry pie that you might enjoy.",-0.16566958882244,gpt-4-0613
cafe-pizza,"I'm sorry, we don't have veggie pizza today. However, we do have cheese pizza available. Also, we have a delicious raspberry pie if you're interested in that.",-270.56876698443466,gpt-4-0613
cafe-pizza,"I'm sorry, we don't have veggie pizza today. However, we do have cheese pizza, which is a vegetarian option.",-0.20322614584501114,gpt-4-0613
cafe-pizza,"I'm sorry, we don't have veggie pizza today. However, we do have a delicious cheese pizza that you might enjoy.",-0.12903149136360373,gpt-4-0613
cafe-pizza,"I'm sorry, we don't have veggie pizza today. But we do have a cheese pizza which might cater to your preferences.",-0.3465283887286778,gpt-4-0613
cafe-pizza,"I'm sorry, we don't have veggie pizza today. However, we do have a cheese pizza which is vegetarian, if that suits your preference.",-0.2971859253916339,gpt-4-0613
bar-whiteWine,"I'm sorry, I don't have any Sauvignon Blanc. But I do have some Chardonnay.",-0.021648726753385417,gpt-4-0613
bar-whiteWine,"I'm sorry, I don't have any Sauvignon Blanc. But I do have some Chardonnay.",-0.017888069796970833,gpt-4-0613
bar-whiteWine,"I'm sorry, I don't have Sauvignon Blanc. But I do have Chardonnay.",-0.17309487181056502,gpt-4-0613
bar-whiteWine,"I'm sorry, I don't have any Sauvignon Blanc. But I do have some Chardonnay.",-0.01524350249024375,gpt-4-0613
bar-whiteWine,"I'm sorry, I don't have any Sauvignon Blanc. But I do have some Chardonnay.",-0.020359180135568335,gpt-4-0613
bar-tea,"I'm sorry, I don't have any iced tea. But I do have iced coffee and soda, if you'd like one of those.",-0.2493490981272058,gpt-4-0613
bar-tea,"I'm sorry, I don't have any iced tea. But I do have iced coffee, would that work for you?",-0.0746877225858963,gpt-4-0613
bar-tea,"I'm sorry, I don't have any iced tea. But I do have iced coffee, would you like that instead?",-0.10822835777625334,gpt-4-0613
bar-tea,"I'm sorry, I don't have any iced tea. But I do have iced coffee and soda available.",-0.12974559888404794,gpt-4-0613
bar-tea,"I'm sorry, I don't have any iced tea. But I do have iced coffee if you would like.",-0.29026000479768166,gpt-4-0613
touristInfo-childTheatre,"I'm sorry, there isn't a theatre performance for children today. However, there is a circus show happening which children typically enjoy.",-0.2402327842427037,gpt-4-0613
touristInfo-childTheatre,"I'm sorry, there isn't a theatre performance for children today. However, there is a circus show happening, which often appeals to kids.",-0.3798444444607241,gpt-4-0613
touristInfo-childTheatre,"I'm sorry, there isn't a theatre performance for children today. However, there is a circus show happening which might be entertaining for the kids.",-0.21473460310433667,gpt-4-0613
touristInfo-childTheatre,"I'm sorry, there isn't a theatre performance for children today. However, there is a circus show happening which can be enjoyable for the whole family.",-0.3713490226067323,gpt-4-0613
touristInfo-childTheatre,"I'm sorry, there isn't a theatre performance for children today. However, there is a circus show happening that could be enjoyable for children.",-0.23973047796605518,gpt-4-0613
touristInfo-clubbing,"I'm sorry, there isn't a club event with electronic music today. But we do have a club event with a hip hop DJ.",-0.13021210162855715,gpt-4-0613
touristInfo-clubbing,"I'm sorry, we don't have a club event with electronic music today. However, we do have a club event with a hip hop DJ, which might be of interest to you.",-0.14963957369918685,gpt-4-0613
touristInfo-clubbing,"I'm sorry, there isn't a club event with electronic music today. However, we do have a club event with a hip hop DJ that you might enjoy.",-0.14381581547690905,gpt-4-0613
touristInfo-clubbing,"I'm sorry, there isn't a club event with electronic music today. However, there is a club event with a hip hop DJ which you might enjoy.",-0.12652431949395937,gpt-4-0613
touristInfo-clubbing,"I'm sorry, we don't have a club event with electronic music today. However, we do have a hip hop DJ performing at a club event.",-0.18634715964962903,gpt-4-0613
bookingAgency-lowClassAccommodation,"I'm sorry, there are no beds available in the youth hostel for tomorrow night. However, we do have a room in a cheap bed-and-breakfast or a room in a budget hotel which fall within a similar budget range. Would you be interested in any of these?",-182.12055433095514,gpt-4-0613
bookingAgency-lowClassAccommodation,"I'm sorry, there's no bed available in the youth hostel for tomorrow night. But I do have a room in a cheap bed-and-breakfast or a room in a budget hotel that you might be interested in.",-0.21725594059881662,gpt-4-0613
bookingAgency-lowClassAccommodation,"I'm sorry, but we currently have no beds available in the youth hostel for tomorrow night. However, we do have a room available in a cheap bed-and-breakfast or a budget hotel, which you might find to your liking.",-0.5545837244652905,gpt-4-0613
bookingAgency-lowClassAccommodation,"I'm sorry, we don't have any beds available in the youth hostel for tomorrow night. However, I can offer a room in a cheap bed-and-breakfast or a room in a budget hotel. Would any of these work for you?",-0.30354848733975304,gpt-4-0613
bookingAgency-lowClassAccommodation,"I'm sorry, but the youth hostel is fully booked for tomorrow night. However, I can offer you a room in a cheap bed-and-breakfast, or a room in a budget hotel.",-0.23892408065026494,gpt-4-0613
bookingAgency-highClassAccommodation,"I'm sorry, but we don't have any available single rooms in a five-star hotel for tomorrow night. The highest category we have is a suite in a four-star hotel. Alternatively, we also have an expensive apartment close to the city if you're interested.",-0.514033410074951,gpt-4-0613
bookingAgency-highClassAccommodation,"I'm sorry, we don't have any five-star hotels available tomorrow night. However, we do have a suite in a four-star hotel that might interest you.",-0.3321808861653121,gpt-4-0613
bookingAgency-highClassAccommodation,"I'm sorry, we don't have any available rooms in a five-star hotel for tomorrow night. But we do have a suite in a four-star hotel that you might find comfortable.",-0.19580852060175677,gpt-4-0613
bookingAgency-highClassAccommodation,"I'm sorry, we don't have any single rooms in a five-star hotel available for tomorrow night. However, we do have a suite in a four-star hotel, or an expensive apartment close to the city.",-0.10842995009202328,gpt-4-0613
bookingAgency-highClassAccommodation,"I'm sorry, we don't have any available rooms in a five-star hotel for tomorrow night. However, we do have a suite in a four-star hotel that you might be interested in.",-0.12900781265724356,gpt-4-0613
