submission_id,age,alternatives,answer,category,comments,condition,correct_response,education,gender,itemName,languages,responseTime,trialNr,trial_type
3944,35,optionB,"yes, you can find them right in front of the cinema. ",error,,question_optionA|no,NA,Higher degree,male,carshring,ENGLISH,32840,1,main
3944,35,NA,sculpture,,,filler,sculpture,Higher degree,male,art-drawing,ENGLISH,20024,2,filler
3944,35,optionB,"yes, we do have. ",taciturn,,question_any,NA,Higher degree,male,parking,ENGLISH,21560,3,main
3944,35,optionA|optionC,"yes, we have them in store.",taciturn,,question_optionA|yes,NA,Higher degree,male,videoGames,ENGLISH,16848,4,main
3944,35,optionC,"yes, we do ",error,,question_optionA|no,NA,Higher degree,male,dricersLicense,ENGLISH,27184,5,main
3944,35,optionA|optionC,"yes, there is Starbucks nearby. ",option,,question_optionA|yes,NA,Higher degree,male,coffeeShop,ENGLISH,26887,6,main
3944,35,optionC,"yes, we can connect on Threads. ",fullList,,question_any,NA,Higher degree,male,socialMedia,ENGLISH,16016,7,main
3945,29,optionA,"Yes, we have a garage at our hotel for cars. ",taciturn,,question_optionA|yes,NA,Higher degree,female,parking,English,76253,1,main
3945,29,NA,motorcycle,,,filler,motorcycle,Higher degree,female,carRental-fun,English,14808,2,filler
3945,29,optionB,"I don't have a Facebook, I mostly use Instagram.",fullList,,question_optionA|no,NA,Higher degree,female,socialMedia,English,27256,3,main
3945,29,optionB,"Yes, there is a Taco Bell in the mall. ",fullList,,question_optionA|no,NA,Higher degree,female,foodCourt,English,16688,4,main
3945,29,optionB,"Yes, there are a number of cars from Car2Go in front of the movie theater.",fullList,,question_any,NA,Higher degree,female,carshring,English,35021,5,main
3945,29,optionA,"Yes, we do accept American Express. ",taciturn,,question_optionA|yes,NA,Higher degree,female,cardBlanche,English,13173,6,main
3945,29,optionC,"Yes, we offer a number of juices. We have tomato juice, orange juice and green juice. ",error,,question_any,NA,Higher degree,female,airplaneJuice,English,38698,7,main
3946,28,NA,teacher,,,filler,teacher,Graduated College,female,jobCenter-engineer,English ,22661,1,filler
3946,28,optionC,"Yes, Cafe Nero is nearby ",fullList,,question_any,NA,Graduated College,female,coffeeShop,English ,33970,2,main
3946,28,optionA|optionC,"Yes, there is a garage for cars. ",option,,question_optionA|yes,NA,Graduated College,female,parking,English ,50453,3,main
3946,28,optionC|optionB,"Yes, I am on Threads and Instagram ",fullList,,question_any,NA,Graduated College,female,socialMedia,English ,32360,4,main
3946,28,optionC|optionB,"No, there is no taco bell at the mall",taciturn,,question_optionA|no,NA,Graduated College,female,foodCourt,English ,19403,5,main
3946,28,optionA,"Yes, there are Zipcars in front of the cinema. ",taciturn,,question_optionA|yes,NA,Graduated College,female,carshring,English ,35779,6,main
3946,28,optionC,"No, we only have green juice ",fullList,,question_optionA|no,NA,Graduated College,female,airplaneJuice,English ,24052,7,main
3947,27,optionA|optionC,Yes we do,taciturn,,question_optionA|yes,NA,Graduated High-school,male,videoGames,English,16399,1,main
3947,27,optionB,No but there is a McCafe ,fullList,,question_optionA|no,NA,Graduated High-school,male,coffeeShop,English,25228,2,main
