model_name,itemName,predictions,category,probs,is_few_shot,dataset,model_type
chatGPT,cafe-pie,"I'm sorry, we don't have raspberry cake. But we do have raspberry pie. Would you like to try that instead?",competitor,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,cafe-pizza,"I'm sorry, we don't have any veggie pizza today. But we do have cheese pizza and pepperoni pizza. If you're looking for something sweet, we also have raspberry pie.",fullList,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,bar-whiteWine,"I'm sorry, we don't have any Sauvignon Blanc. But we do have some Chardonnay if you'd like to try that instead. It's a white wine that is very similar in flavor and aroma. Would you like to give it a try?",competitor,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,bar-tea,"I'm sorry, we don't have iced tea. However, we do have iced coffee and soda if you'd like something cold to drink.",sameCategory,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,touristInfo-childTheatre,"I'm sorry, there is no theatre performance for children today. However, we do have a circus show happening which may be suitable for children. We also have a trade fare and a club event with a hip hop DJ. Is there anything else I can help you with?",fullList,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,touristInfo-clubbing,"I'm sorry, there isn't a club event with electronic music today. However, we do have a club event with a hip hop DJ and a live jazz music event. Would either of those be of interest to you?",sameCategory,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,bookingAgency-lowClassAccommodation,"I'm sorry, we don't have any availability in the youth hostel for tomorrow night. However, we do have a room in a cheap bed-and-breakfast, a room in a budget hotel, and a suite in a four-star hotel available for tomorrow night. Would one of those options work for you?",fullList,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,bookingAgency-highClassAccommodation,"I'm sorry, we don't have any single rooms available in a five-star hotel for tomorrow night. However, we do have a suite in a four-star hotel, an expensive apartment close to the city, or a room in a cheap bed-and-breakfast that may suit your needs.",fullList,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,waterSport-motor,"I'm sorry, we don't have any jet skis for rent. However, we do have water ski equipment, rubber dinghies, and kayaks available. Would you be interested in any of those options?",fullList,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,waterSport-muscle,"I'm sorry, we do not offer canoe rentals at our agency. However, we do have kayaks and pedal boats available for rent. Would you be interested in either of those options?",sameCategory,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,dutyFree-smokes,"I'm sorry, I don't have any cigars. But I do have cigarettes if you're interested.",competitor,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,dutyFree-sweets,"I'm sorry, we don't have any cookies on board. But we do have some gingerbread for sale if you're interested. It's a classic holiday treat that many people enjoy.",competitor,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,clothing-clothes,"I'm sorry, we don't have any Hawaiian shirts. But we do have some shorts and sweatshirts.",sameCategory,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,clothing-acc,"I'm sorry, we don't have any earrings in stock. However, we do have a variety of necklaces and sunglasses that you may be interested in.",sameCategory,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,petAdoption-dogs,"I'm sorry, we don't have any Dalmatians at the moment. However, we do have some golden retrievers that are just as loving and loyal as Dalmatians. Would you like to meet them?",competitor,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,petAdoption-hamster,"I'm sorry, we don't have any hamsters at the moment. But we do have some gerbils and ferrets available for adoption if you're interested. They are both small and affectionate animals that make great pets. We also have some beautiful golden retrievers if you're looking for a larger companion. Is there anything in particular you're looking for in a pet? We'd be happy to help you find the perfect fit for your family.",fullList,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,books-romance,"I'm sorry, I don't have any books of love poems. However, we do have a collection of French love letters that might interest you.",competitor,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,books-fantasy,"I'm sorry, we don't have any psychological thrillers at the moment. However, we do have mystery novels and adventure novels which might be of interest to you. If you're looking for something specific, we can check if we can order it for you. Do you have any particular authors or titles in mind?",sameCategory,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,electronics-laptop,"I'm sorry, we don't have a MacBook Pro. However, we do have a MacBook Air which is similar. It's a laptop with a sleek design and fast processing speeds. Would you like to take a look at that?",competitor,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,electronics-console,"I'm sorry, we don't have a PlayStation in stock at the moment. However, we do have an Xbox and a Gameboy available if you're interested. We also have a MacBook Air if you're looking for a computer.",fullList,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,gym-yoga,"I'm sorry, we don't offer yoga classes at the moment. However, we do have pilates and zumba classes that may be of interest to you. Both focus on flexibility and body control, similar to yoga. Additionally, we have kickboxing classes that offer a full body workout and can help improve strength and flexibility as well.",fullList,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,gym-boxing,"I'm sorry, we don't offer boxing classes here at the gym. However, we do have kickboxing classes which might be of interest to you. Would you like to sign up for a trial class?",competitor,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,kidsActivities-crafts,"I'm sorry, we don't have a pottery class. However, we do have a watercolor painting class and a carpentry workshop. If you're interested in artistic activities, the watercolor painting class might be a good option for you. If you prefer hands-on, practical activities, the carpentry workshop might be a better fit. Alternatively, if you enjoy physical challenges, you might enjoy the acrobatics class. So, which one do you prefer?",fullList,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,kidsActivities-sports,"I'm sorry, we don't have a gymnastics class at our camp. However, we do have an acrobatics class which includes some elements of gymnastics. Would you like to sign up for that instead?",competitor,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,friendsActivities-boardGames,"I'm sorry, I don't have Scrabble. But I do have Monopoly and checkers if you want to play those instead.",sameCategory,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,friendsActivities-videoEntertainment,"I'm sorry, I don't have Netflix. But I do have some movies and Xbox games for us to watch and play.",sameCategory,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,interior-green,"I'm sorry, I don't have an aloe vera plant. But I do have an agave plant which is a similar type of succulent. It would make a great addition to your new apartment. Would you like to take it with you?",competitor,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,interior-deco,"I'm sorry, I don't have any watercolour paintings. But I do have an oil painting and some printed photographs that you might be interested in. And I also have an agave plant that would add some greenery to your new apartment.",fullList,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,zoo-xl,"I'm sorry, we can't see the tiger today. The map says that the lion, giraffe, and iguanas are the only animals here. But we can see them and learn more about them!",fullList,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,zoo-reptiles,"I'm sorry, we don't have chameleons at this zoo. But we do have iguanas and turtles. Would you like to see those instead?",sameCategory,1,TRUE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,cafe-pie,"I'm sorry, we don't have raspberry cake today. However, we do have raspberry pie, chocolate cookies, and cheese pizza available. Can I interest you in one of those options?",fullList,1,FALSE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,cafe-pizza,"I'm sorry, we don't have veggie pizza today. However, we do have cheese and pepperoni pizza available, as well as raspberry pie for dessert. Can I interest you in one of those options?",fullList,1,FALSE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,bar-whiteWine,"I'm sorry, we only have Chardonnay available at the moment. Is there anything else I can get for you? Maybe a craft beer or iced coffee?",other,1,FALSE,"CC, WebText, Books, Wikipedia, human data",generative
chatGPT,bar-tea,"I'm sorry, we don't have iced tea available at the moment. However, we do have iced coffee, soda, and Chardonnay. Can I interest you in one of those options?",fullList,1,FALSE,"CC, WebText, Books, Wikipedia, human data",generative
