itemName,question,highProb_option,midProb_option,lowProb_option,context_begin,context_cont,high_prior,low_prior,answer_template
cardBlanche,“Do you accept credit cards?”,American Express,Visa,Card Blanche,There are three types of credit cards:,"It is common knowledge that the frequency of acceptance is the highest for American Express, lower for Visa, and that Card Blanche is accepted very rarely.",The restaurant Oggi accepts all cards except the least frequent Card Blanche. A customer calls the restaurant and asks:,The restaurant Oggi accepts all cards except the most frequent American Express. A customer calls the restaurant and asks: ,The waiter at the restaurant replies:
carshring,“Can I find a carshare around here?”,Zipcar,Car2Go,CityCar,There are three major car-sharing apps in your town:,"It is common knowledge that Zipcar has the largest fleet, Car2Go has a mid-sized fleet and CityCar has only a few vehicles. Subscribing customers can use their service’s cars.","Carshares usually park in front of cinemas. Today, in front of the cinema, there are cars from all companies except the least common, CityCar. A person who just finished watching a movie walks up to the cinema ticket desk and asks:","Carshares usually park in front of cinemas. Today, in front of the cinema, there are cars from all companies except the most common, Zipcar. A person who just finished watching a movie walks up to the cinema ticket desk and asks:",The cashier replies:
phoneRepair,“Is there a phone repair shop in the mall?”,iPhones,Samsung phones,Google Pixels,There are three types of phones:,"It is common knowledge that iPhones are most popular, Samsung phones are moderately popular, and Google Pixels are very rare.","There is a small repair shop at a big mall, which accepts all phones for repairs except the least frequent, Google Pixels. A customer asks a cashier at a store in the mall:","There is a small repair shop at a big mall, which accepts all phones for repairs except the most frequent, iPhones. A customer asks a cashier at a store in the mall:",The cashier replies:
parking,“Do you have parking at the hotel?”,a garage for cars,parking for bikes,a landing platform for helicopters,There are parking options for three different types of vehicles:,"It is common knowledge that they differ in terms of how often hotels offer these types of parking: most hotels have garages, less hotels have bike parking, and only very few hotels have platforms for helicopters.",Hotel Atlantis provides all types of parking except the least common helicopter landing platform. A guest calls and asks:,Hotel Atlantis provides all types of parking except the most common car garage. A guest calls in and asks:,The receptionist replies:
foodCourt,“Are there fast food joints with vegan options at the mall?”,Taco Bell,McDonalds,Shake Shack,There are three prominent fast food joints:,"It is common knowledge that Taco Bell almost always has vegan options, McDonalds sometimes has limited edition vegan options, and Shake Shack only offers vegan options very rarely.",A large shopping mall has a food court which has all fast food joints except the least vegan-friendly Shake Shack. A customer asks the cashier at a store:,A large shopping mall has a food court which has all fast food joints except the most vegan-friendly Taco Bell. A customer asks the cashier at a store:,The cashier replies:
airplaneJuice,“Do you have juice?”,tomato juice,orange juice,green juice,There are three types of juice offered during flights:,"It is common knowledge that tomato juice is ordered by most passengers, orange juice is ordered by fewer people, and that passengers order green juice only occasionally.",A long-distance flight by Delta offers all types of juice except the least commonly ordered green juice. A passenger asks the flight attendant:,A long-distance flight by Delta offers all types of juice except the most commonly ordered tomato juice. A passenger asks the flight attendant:,The flight attendant replies:
coffeeShop,“Can I get a decaf coffee nearby?”,Starbucks,McCafé,Café Nero,There are three coffee shop chains in your city:,"It is common knowledge that Starbucks always has decaf options, McCafé sometimes has decaf options, and Café Nero has only sometimes limited edition decaf.","A big conference center is located in the city center. There are shops of all chains nearby except for Café Nero, the shop with the fewest decaf options. A visitor asks at the front desk:","A big conference center is located in the city center. There are shops of all chains nearby except for Starbucks, the shop with the most decaf options. A visitor asks at the front desk:",The receptionist replies:
socialMedia,“Can I connect with you on social media?”,Facebook,Instagram,Threads,There are three major social media platforms:,"It is common knowledge that Facebook has the most active users, Instagram has fewer active users, and Threads has very few active users.",Your well-connected friend uses all social media platforms except the least widespread Threads. A new acquaintance at a party comes up to your friend and asks:,Your well-connected friend uses all social media platforms except the most widespread Facebook. A new acquaintance at a party comes up to your friend and asks:,Your friend replies:
dricersLicense,“Do you have small rental vehicles for getting around town?”,electric scooters,mopeds,electric bikes,There are three micro mobility options in your town:,"It is common knowledge that most people have licenses for scooters, fewer people have licenses for mopeds, and almost no one has a license for bikes.","Hotel Atlantis offers all the mobility options except the most strictly licensed option, electric bikes. A guest asks at the front desk:","Hotel Atlantis offers all the mobility options except the least strictly licensed option, electric scooters. A guest asks at the front desk:",The receptionist replies:
videoGames,“Do you sell video games?”,PlayStation,Wii,GameCube,People generally play video games on three consoles in your town:,"It is common knowledge that Playstation is the most common console, Wii is less common and Wii has very few users.",An electronics store carries games for all consoles except the least common GameCube. A customer walks in and asks:,An electronics store carries games for all consoles except the most common PlayStation. A customer walks in and asks:,The salesperson replies:
